Subscriber	Time	CalledNo
10005	2010-01-06 19:58:39	--------
10004	2010-01-06 20:35:51	--------
10001	2010-01-06 20:45:09	--------
10003	2010-01-06 20:45:09	--------
10001	2010-01-06 20:49:48	--------
10005	2010-01-06 20:49:48	--------
10001	2010-01-06 21:17:42	--------
10010	2010-01-06 21:31:39	--------
10007	2010-01-06 21:36:18	--------
10009	2010-01-06 21:40:57	--------
10004	2010-01-06 21:45:36	--------
10008	2010-01-06 21:45:36	--------
10004	2010-01-06 21:54:54	--------
10009	2010-01-06 22:04:12	--------
10003	2010-01-06 23:18:36	--------
10005	2010-01-06 23:41:51	--------
10005	2010-01-06 23:46:30	--------
10004	2010-01-06 23:55:48	--------
10009	2010-01-07 00:23:42	--------
10010	2010-01-07 01:47:24	--------
10005	2010-01-07 01:56:42	--------
10009	2010-01-07 02:01:21	--------
10004	2010-01-07 02:06:00	--------
10004	2010-01-07 02:15:18	--------
10008	2010-01-07 02:24:36	--------
10001	2010-01-07 02:33:54	--------
10005	2010-01-07 02:47:51	--------
10001	2010-01-07 03:48:18	--------
10001	2010-01-07 04:06:54	--------
10004	2010-01-07 04:16:12	--------
10001	2010-01-07 04:20:51	--------
10005	2010-01-07 04:20:51	--------
10008	2010-01-07 04:20:51	--------
10010	2010-01-07 04:39:27	--------
10010	2010-01-07 04:44:06	--------
10008	2010-01-07 05:02:42	--------
10007	2010-01-07 05:16:39	--------
10007	2010-01-07 05:49:12	--------
10009	2010-01-07 05:49:12	--------
10008	2010-01-07 06:12:27	--------
10001	2010-01-07 06:21:45	--------
10010	2010-01-07 06:35:42	--------
10004	2010-01-07 06:45:00	--------
10005	2010-01-07 07:17:33	--------
10005	2010-01-07 07:22:12	--------
10005	2010-01-07 07:31:30	--------
10005	2010-01-07 07:45:27	--------
10009	2010-01-07 07:50:06	--------
10001	2010-01-07 08:04:03	--------
10005	2010-01-07 08:08:42	--------
10007	2010-01-07 08:13:21	--------
10006	2010-01-07 08:22:39	--------
10005	2010-01-07 08:41:15	--------
10006	2010-01-07 08:45:54	--------
10010	2010-01-07 08:59:51	--------
10006	2010-01-07 09:04:30	--------
10002	2010-01-07 09:09:09	--------
10009	2010-01-07 09:13:48	--------
10003	2010-01-07 09:18:27	--------
10008	2010-01-07 09:18:27	--------
10001	2010-01-07 09:23:06	--------
10001	2010-01-07 09:27:45	--------
10004	2010-01-07 09:37:03	--------
10005	2010-01-07 10:09:36	--------
10007	2010-01-07 10:42:09	--------
10004	2010-01-07 10:46:48	--------
10008	2010-01-07 11:00:45	--------
10009	2010-01-07 11:14:42	--------
10008	2010-01-07 11:28:39	--------
10005	2010-01-07 11:42:36	--------
10001	2010-01-07 11:47:15	--------
10005	2010-01-07 12:01:12	--------
10005	2010-01-07 12:24:27	--------
10005	2010-01-07 12:43:03	--------
10003	2010-01-07 12:57:00	--------
10006	2010-01-07 12:57:00	--------
10001	2010-01-07 13:06:18	--------
10001	2010-01-07 13:20:15	--------
10010	2010-01-07 13:43:30	--------
10007	2010-01-07 13:48:09	--------
10010	2010-01-07 13:52:48	--------
10001	2010-01-07 14:30:00	--------
10004	2010-01-07 14:30:00	--------
10004	2010-01-07 14:34:39	--------
10007	2010-01-07 15:02:33	--------
10003	2010-01-07 15:07:12	--------
10010	2010-01-07 15:11:51	--------
10005	2010-01-07 15:53:42	--------
10010	2010-01-07 16:03:00	--------
10008	2010-01-07 16:21:36	--------
10008	2010-01-07 16:30:54	--------
10010	2010-01-07 16:30:54	--------
10004	2010-01-07 16:54:09	--------
10009	2010-01-07 17:03:27	--------
10001	2010-01-07 17:36:00	--------
10010	2010-01-07 17:36:00	--------
10005	2010-01-07 17:54:36	--------
10008	2010-01-07 17:54:36	--------
10010	2010-01-07 17:54:36	--------
10010	2010-01-07 18:03:54	--------
10007	2010-01-07 18:08:33	--------
10008	2010-01-07 18:08:33	--------
10006	2010-01-07 18:17:51	--------
10006	2010-01-07 18:22:30	--------
10007	2010-01-07 19:04:21	--------
10004	2010-01-07 19:22:57	--------
10005	2010-01-07 19:50:51	--------
10006	2010-01-07 20:09:27	--------
10003	2010-01-07 20:18:45	--------
10010	2010-01-07 20:18:45	--------
10001	2010-01-07 20:42:00	--------
10009	2010-01-07 20:42:00	--------
10008	2010-01-07 21:14:33	--------
10010	2010-01-07 21:14:33	--------
10000	2010-01-07 21:33:09	--------
10010	2010-01-07 21:37:48	--------
10004	2010-01-07 21:47:06	--------
10009	2010-01-07 22:01:03	--------
10008	2010-01-07 22:05:42	--------
10006	2010-01-07 22:19:39	--------
10010	2010-01-07 22:28:57	--------
10001	2010-01-07 22:33:36	--------
10006	2010-01-07 22:33:36	--------
10005	2010-01-07 22:38:15	--------
10009	2010-01-07 22:38:15	--------
10000	2010-01-07 23:01:30	--------
10003	2010-01-07 23:06:09	--------
10005	2010-01-07 23:06:09	--------
10006	2010-01-07 23:06:09	--------
10000	2010-01-07 23:15:27	--------
10005	2010-01-07 23:15:27	--------
10010	2010-01-07 23:15:27	--------
10009	2010-01-07 23:29:24	--------
10005	2010-01-07 23:38:42	--------
10007	2010-01-07 23:38:42	--------
10008	2010-01-07 23:52:39	--------
10010	2010-01-08 00:01:57	--------
10001	2010-01-08 00:20:33	--------
10005	2010-01-08 00:25:12	--------
10005	2010-01-08 00:29:51	--------
10010	2010-01-08 01:30:18	--------
10006	2010-01-08 01:39:36	--------
10008	2010-01-08 02:02:51	--------
10005	2010-01-08 02:12:09	--------
10005	2010-01-08 02:35:24	--------
10009	2010-01-08 03:45:09	--------
10008	2010-01-08 03:49:48	--------
10004	2010-01-08 04:31:39	--------
10002	2010-01-08 04:40:57	--------
10002	2010-01-08 05:08:51	--------
10010	2010-01-08 05:08:51	--------
10005	2010-01-08 05:18:09	--------
10008	2010-01-08 05:18:09	--------
10001	2010-01-08 05:22:48	--------
10009	2010-01-08 05:46:03	--------
10010	2010-01-08 05:46:03	--------
10009	2010-01-08 05:50:42	--------
10000	2010-01-08 05:55:21	--------
10000	2010-01-08 06:04:39	--------
10006	2010-01-08 06:23:15	--------
10008	2010-01-08 06:27:54	--------
10004	2010-01-08 06:32:33	--------
10007	2010-01-08 06:41:51	--------
10005	2010-01-08 06:46:30	--------
10004	2010-01-08 07:05:06	--------
10009	2010-01-08 07:05:06	--------
10008	2010-01-08 07:19:03	--------
10001	2010-01-08 07:28:21	--------
10005	2010-01-08 07:33:00	--------
10005	2010-01-08 07:46:57	--------
10000	2010-01-08 08:19:30	--------
10006	2010-01-08 08:28:48	--------
10007	2010-01-08 08:38:06	--------
10010	2010-01-08 08:47:24	--------
10009	2010-01-08 08:52:03	--------
10006	2010-01-08 09:15:18	--------
10005	2010-01-08 09:43:12	--------
10005	2010-01-08 09:47:51	--------
10007	2010-01-08 10:01:48	--------
10010	2010-01-08 10:01:48	--------
10005	2010-01-08 10:06:27	--------
10009	2010-01-08 10:20:24	--------
10004	2010-01-08 11:06:54	--------
10010	2010-01-08 11:06:54	--------
10005	2010-01-08 11:25:30	--------
10002	2010-01-08 11:34:48	--------
10001	2010-01-08 11:53:24	--------
10003	2010-01-08 12:21:18	--------
10004	2010-01-08 12:21:18	--------
10010	2010-01-08 12:21:18	--------
10005	2010-01-08 12:25:57	--------
10007	2010-01-08 12:35:15	--------
10008	2010-01-08 13:03:09	--------
10003	2010-01-08 13:07:48	--------
10000	2010-01-08 13:17:06	--------
10007	2010-01-08 13:21:45	--------
10010	2010-01-08 13:31:03	--------
10002	2010-01-08 13:58:57	--------
10005	2010-01-08 13:58:57	--------
10007	2010-01-08 13:58:57	--------
10005	2010-01-08 14:22:12	--------
10003	2010-01-08 14:31:30	--------
10005	2010-01-08 14:31:30	--------
10004	2010-01-08 14:36:09	--------
10000	2010-01-08 14:59:24	--------
10007	2010-01-08 15:04:03	--------
10002	2010-01-08 15:13:21	--------
10001	2010-01-08 15:22:39	--------
10007	2010-01-08 15:59:51	--------
10005	2010-01-08 16:04:30	--------
10005	2010-01-08 16:23:06	--------
10006	2010-01-08 16:37:03	--------
10005	2010-01-08 16:46:21	--------
10003	2010-01-08 17:18:54	--------
10006	2010-01-08 17:28:12	--------
10005	2010-01-08 17:37:30	--------
10005	2010-01-08 17:42:09	--------
10004	2010-01-08 17:46:48	--------
10010	2010-01-08 18:19:21	--------
10010	2010-01-08 18:28:39	--------
10002	2010-01-08 18:37:57	--------
10009	2010-01-08 18:47:15	--------
10005	2010-01-08 19:10:30	--------
10002	2010-01-08 19:29:06	--------
10010	2010-01-08 20:01:39	--------
10000	2010-01-08 20:29:33	--------
10005	2010-01-08 20:43:30	--------
10001	2010-01-08 20:48:09	--------
10008	2010-01-08 20:48:09	--------
10002	2010-01-08 21:02:06	--------
10009	2010-01-08 21:11:24	--------
10010	2010-01-08 21:20:42	--------
10001	2010-01-08 21:25:21	--------
10004	2010-01-08 21:25:21	--------
10010	2010-01-08 21:25:21	--------
10002	2010-01-08 21:43:57	--------
10000	2010-01-08 21:53:15	--------
10003	2010-01-08 21:57:54	--------
10005	2010-01-08 22:07:12	--------
10006	2010-01-08 22:25:48	--------
10010	2010-01-08 22:25:48	--------
10010	2010-01-08 22:39:45	--------
10005	2010-01-08 23:03:00	--------
10010	2010-01-08 23:21:36	--------
10006	2010-01-08 23:30:54	--------
10006	2010-01-08 23:54:09	--------
10007	2010-01-08 23:58:48	--------
10005	2010-01-09 00:08:06	--------
10009	2010-01-09 00:08:06	--------
10009	2010-01-09 00:22:03	--------
10006	2010-01-09 00:49:57	--------
10001	2010-01-09 00:54:36	--------
10010	2010-01-09 00:59:15	--------
10005	2010-01-09 01:08:33	--------
10002	2010-01-09 01:13:12	--------
10004	2010-01-09 02:04:21	--------
10009	2010-01-09 02:27:36	--------
10005	2010-01-09 02:32:15	--------
10010	2010-01-09 02:32:15	--------
10010	2010-01-09 02:50:51	--------
10008	2010-01-09 02:55:30	--------
10010	2010-01-09 02:55:30	--------
10004	2010-01-09 03:37:21	--------
10006	2010-01-09 03:37:21	--------
10001	2010-01-09 03:42:00	--------
10008	2010-01-09 03:46:39	--------
10010	2010-01-09 04:09:54	--------
10000	2010-01-09 04:37:48	--------
10001	2010-01-09 05:10:21	--------
10005	2010-01-09 05:19:39	--------
10001	2010-01-09 05:28:57	--------
10005	2010-01-09 05:28:57	--------
10006	2010-01-09 06:01:30	--------
10010	2010-01-09 06:24:45	--------
10008	2010-01-09 06:34:03	--------
10010	2010-01-09 06:38:42	--------
10007	2010-01-09 06:57:18	--------
10004	2010-01-09 07:20:33	--------
10005	2010-01-09 07:20:33	--------
10007	2010-01-09 07:20:33	--------
10005	2010-01-09 07:25:12	--------
10004	2010-01-09 07:29:51	--------
10010	2010-01-09 07:43:48	--------
10010	2010-01-09 07:53:06	--------
10006	2010-01-09 08:07:03	--------
10009	2010-01-09 08:21:00	--------
10008	2010-01-09 08:30:18	--------
10009	2010-01-09 08:30:18	--------
10000	2010-01-09 08:44:15	--------
10003	2010-01-09 08:53:33	--------
10006	2010-01-09 09:02:51	--------
10010	2010-01-09 09:02:51	--------
10000	2010-01-09 09:54:00	--------
10009	2010-01-09 10:12:36	--------
10005	2010-01-09 10:17:15	--------
10010	2010-01-09 10:26:33	--------
10004	2010-01-09 11:08:24	--------
10004	2010-01-09 11:31:39	--------
10001	2010-01-09 11:36:18	--------
10002	2010-01-09 11:45:36	--------
10001	2010-01-09 11:54:54	--------
10007	2010-01-09 11:54:54	--------
10006	2010-01-09 12:18:09	--------
10001	2010-01-09 12:27:27	--------
10008	2010-01-09 12:46:03	--------
10009	2010-01-09 13:32:33	--------
10007	2010-01-09 13:37:12	--------
10010	2010-01-09 13:37:12	--------
10005	2010-01-09 13:46:30	--------
10010	2010-01-09 13:51:09	--------
10004	2010-01-09 14:00:27	--------
10005	2010-01-09 14:00:27	--------
10001	2010-01-09 14:23:42	--------
10005	2010-01-09 14:23:42	--------
10009	2010-01-09 14:33:00	--------
10007	2010-01-09 14:37:39	--------
10010	2010-01-09 14:42:18	--------
10007	2010-01-09 14:46:57	--------
10005	2010-01-09 15:00:54	--------
10005	2010-01-09 15:28:48	--------
10004	2010-01-09 16:19:57	--------
10001	2010-01-09 16:29:15	--------
10010	2010-01-09 16:33:54	--------
10001	2010-01-09 16:43:12	--------
10005	2010-01-09 16:47:51	--------
10006	2010-01-09 17:01:48	--------
10000	2010-01-09 17:20:24	--------
10008	2010-01-09 17:20:24	--------
10005	2010-01-09 17:29:42	--------
10006	2010-01-09 17:34:21	--------
10005	2010-01-09 17:43:39	--------
10003	2010-01-09 17:52:57	--------
10001	2010-01-09 17:57:36	--------
10006	2010-01-09 17:57:36	--------
10000	2010-01-09 18:06:54	--------
10006	2010-01-09 18:20:51	--------
10001	2010-01-09 18:25:30	--------
10010	2010-01-09 18:34:48	--------
10001	2010-01-09 18:39:27	--------
10004	2010-01-09 18:44:06	--------
10007	2010-01-09 18:58:03	--------
10010	2010-01-09 18:58:03	--------
10010	2010-01-09 19:02:42	--------
10004	2010-01-09 19:07:21	--------
10008	2010-01-09 19:12:00	--------
10001	2010-01-09 19:39:54	--------
10005	2010-01-09 19:39:54	--------
10008	2010-01-09 19:44:33	--------
10004	2010-01-09 19:49:12	--------
10006	2010-01-09 20:12:27	--------
10005	2010-01-09 20:21:45	--------
10009	2010-01-09 20:31:03	--------
10010	2010-01-09 20:31:03	--------
10004	2010-01-09 20:45:00	--------
10009	2010-01-09 20:45:00	--------
10005	2010-01-09 20:58:57	--------
10005	2010-01-09 21:26:51	--------
10005	2010-01-09 22:13:21	--------
10005	2010-01-09 22:41:15	--------
10010	2010-01-09 22:45:54	--------
10001	2010-01-09 23:04:30	--------
10006	2010-01-09 23:04:30	--------
10006	2010-01-09 23:09:09	--------
10010	2010-01-09 23:09:09	--------
10001	2010-01-09 23:18:27	--------
10007	2010-01-09 23:32:24	--------
10010	2010-01-09 23:32:24	--------
10001	2010-01-09 23:46:21	--------
10004	2010-01-09 23:46:21	--------
10006	2010-01-09 23:46:21	--------
10004	2010-01-09 23:55:39	--------
10006	2010-01-10 00:00:18	--------
10002	2010-01-10 00:04:57	--------
10006	2010-01-10 00:42:09	--------
10004	2010-01-10 00:46:48	--------
10009	2010-01-10 00:56:06	--------
10009	2010-01-10 01:05:24	--------
10010	2010-01-10 01:14:42	--------
10006	2010-01-10 01:19:21	--------
10005	2010-01-10 01:24:00	--------
10006	2010-01-10 01:33:18	--------
10010	2010-01-10 01:37:57	--------
10007	2010-01-10 01:47:15	--------
10008	2010-01-10 02:05:51	--------
10009	2010-01-10 02:15:09	--------
10010	2010-01-10 02:33:45	--------
10003	2010-01-10 02:38:24	--------
10005	2010-01-10 02:52:21	--------
10006	2010-01-10 02:52:21	--------
10005	2010-01-10 03:01:39	--------
10009	2010-01-10 03:15:36	--------
10004	2010-01-10 03:52:48	--------
10007	2010-01-10 03:57:27	--------
10005	2010-01-10 04:11:24	--------
10001	2010-01-10 04:16:03	--------
10008	2010-01-10 04:20:42	--------
10009	2010-01-10 04:34:39	--------
10010	2010-01-10 04:34:39	--------
10006	2010-01-10 05:07:12	--------
10010	2010-01-10 05:07:12	--------
10005	2010-01-10 05:16:30	--------
10002	2010-01-10 05:58:21	--------
10005	2010-01-10 06:26:15	--------
10006	2010-01-10 06:30:54	--------
10004	2010-01-10 06:40:12	--------
10004	2010-01-10 06:44:51	--------
10010	2010-01-10 06:49:30	--------
10009	2010-01-10 07:22:03	--------
10001	2010-01-10 07:26:42	--------
10009	2010-01-10 07:36:00	--------
10001	2010-01-10 07:40:39	--------
10009	2010-01-10 07:40:39	--------
10008	2010-01-10 07:45:18	--------
10009	2010-01-10 08:08:33	--------
10009	2010-01-10 08:27:09	--------
10010	2010-01-10 08:27:09	--------
10003	2010-01-10 08:31:48	--------
10006	2010-01-10 08:41:06	--------
10009	2010-01-10 08:41:06	--------
10008	2010-01-10 09:18:18	--------
10001	2010-01-10 09:41:33	--------
10006	2010-01-10 09:46:12	--------
10010	2010-01-10 10:00:09	--------
10010	2010-01-10 10:09:27	--------
10010	2010-01-10 10:18:45	--------
10001	2010-01-10 10:28:03	--------
10008	2010-01-10 10:37:21	--------
10006	2010-01-10 10:42:00	--------
10001	2010-01-10 11:00:36	--------
10010	2010-01-10 11:05:15	--------
10007	2010-01-10 11:23:51	--------
10001	2010-01-10 11:28:30	--------
10005	2010-01-10 12:56:51	--------
10002	2010-01-10 13:01:30	--------
10006	2010-01-10 13:20:06	--------
10004	2010-01-10 13:24:45	--------
10006	2010-01-10 13:29:24	--------
10007	2010-01-10 13:38:42	--------
10007	2010-01-10 13:52:39	--------
10005	2010-01-10 13:57:18	--------
10010	2010-01-10 14:15:54	--------
10002	2010-01-10 14:25:12	--------
10001	2010-01-10 14:29:51	--------
10006	2010-01-10 14:53:06	--------
10009	2010-01-10 15:25:39	--------
10004	2010-01-10 15:30:18	--------
10009	2010-01-10 15:39:36	--------
10000	2010-01-10 15:53:33	--------
10009	2010-01-10 15:53:33	--------
10004	2010-01-10 15:58:12	--------
10009	2010-01-10 15:58:12	--------
10004	2010-01-10 16:12:09	--------
10005	2010-01-10 16:16:48	--------
10006	2010-01-10 16:21:27	--------
10005	2010-01-10 16:26:06	--------
10009	2010-01-10 16:26:06	--------
10007	2010-01-10 17:03:18	--------
10008	2010-01-10 17:17:15	--------
10005	2010-01-10 17:45:09	--------
10001	2010-01-10 18:08:24	--------
10003	2010-01-10 18:22:21	--------
10010	2010-01-10 18:22:21	--------
10006	2010-01-10 18:27:00	--------
10005	2010-01-10 18:36:18	--------
10008	2010-01-10 18:45:36	--------
10007	2010-01-10 18:54:54	--------
10005	2010-01-10 19:13:30	--------
10006	2010-01-10 19:27:27	--------
10003	2010-01-10 19:32:06	--------
10006	2010-01-10 19:32:06	--------
10001	2010-01-10 19:36:45	--------
10001	2010-01-10 19:46:03	--------
10001	2010-01-10 20:13:57	--------
10007	2010-01-10 20:18:36	--------
10010	2010-01-10 20:18:36	--------
10004	2010-01-10 20:27:54	--------
10006	2010-01-10 20:27:54	--------
10010	2010-01-10 20:41:51	--------
10010	2010-01-10 20:51:09	--------
10010	2010-01-10 21:05:06	--------
10010	2010-01-10 21:19:03	--------
10000	2010-01-10 21:42:18	--------
10008	2010-01-10 21:46:57	--------
10010	2010-01-10 21:51:36	--------
10005	2010-01-10 22:00:54	--------
10001	2010-01-10 22:10:12	--------
10004	2010-01-10 22:24:09	--------
10010	2010-01-10 22:24:09	--------
10004	2010-01-10 22:47:24	--------
10009	2010-01-10 22:56:42	--------
10010	2010-01-10 23:19:57	--------
10004	2010-01-10 23:33:54	--------
10001	2010-01-10 23:47:51	--------
10005	2010-01-10 23:47:51	--------
10004	2010-01-10 23:57:09	--------
10004	2010-01-11 00:01:48	--------
10005	2010-01-11 00:01:48	--------
10010	2010-01-11 00:01:48	--------
10009	2010-01-11 00:20:24	--------
10002	2010-01-11 00:29:42	--------
10001	2010-01-11 00:34:21	--------
10005	2010-01-11 00:34:21	--------
10007	2010-01-11 00:34:21	--------
10001	2010-01-11 00:43:39	--------
10004	2010-01-11 00:43:39	--------
10001	2010-01-11 01:06:54	--------
10005	2010-01-11 01:06:54	--------
10008	2010-01-11 01:06:54	--------
10007	2010-01-11 01:34:48	--------
10006	2010-01-11 02:07:21	--------
10009	2010-01-11 02:12:00	--------
10005	2010-01-11 02:16:39	--------
10010	2010-01-11 02:21:18	--------
10010	2010-01-11 02:39:54	--------
10007	2010-01-11 02:49:12	--------
10000	2010-01-11 03:07:48	--------
10001	2010-01-11 03:07:48	--------
10001	2010-01-11 03:17:06	--------
10010	2010-01-11 03:17:06	--------
10010	2010-01-11 03:58:57	--------
10008	2010-01-11 04:03:36	--------
10010	2010-01-11 04:40:48	--------
10010	2010-01-11 04:45:27	--------
10005	2010-01-11 04:59:24	--------
10001	2010-01-11 05:08:42	--------
10009	2010-01-11 05:18:00	--------
10006	2010-01-11 05:22:39	--------
10007	2010-01-11 05:27:18	--------
10008	2010-01-11 05:27:18	--------
10006	2010-01-11 05:50:33	--------
10008	2010-01-11 05:50:33	--------
10004	2010-01-11 06:09:09	--------
10009	2010-01-11 06:51:00	--------
10009	2010-01-11 07:00:18	--------
10010	2010-01-11 07:09:36	--------
10009	2010-01-11 07:56:06	--------
10001	2010-01-11 08:00:45	--------
10008	2010-01-11 08:00:45	--------
10010	2010-01-11 08:00:45	--------
10004	2010-01-11 08:10:03	--------
10010	2010-01-11 08:19:21	--------
10009	2010-01-11 08:28:39	--------
10010	2010-01-11 08:28:39	--------
10000	2010-01-11 08:33:18	--------
10001	2010-01-11 08:37:57	--------
10005	2010-01-11 08:37:57	--------
10010	2010-01-11 08:42:36	--------
10001	2010-01-11 09:05:51	--------
10001	2010-01-11 09:24:27	--------
10003	2010-01-11 09:43:03	--------
10001	2010-01-11 10:06:18	--------
10006	2010-01-11 10:06:18	--------
10007	2010-01-11 10:20:15	--------
10006	2010-01-11 10:24:54	--------
10000	2010-01-11 10:29:33	--------
10010	2010-01-11 10:29:33	--------
10006	2010-01-11 10:34:12	--------
10001	2010-01-11 10:38:51	--------
10008	2010-01-11 10:43:30	--------
10002	2010-01-11 11:11:24	--------
10005	2010-01-11 12:25:48	--------
10006	2010-01-11 12:25:48	--------
10001	2010-01-11 12:30:27	--------
10010	2010-01-11 12:30:27	--------
10008	2010-01-11 12:44:24	--------
10010	2010-01-11 12:44:24	--------
10001	2010-01-11 12:53:42	--------
10005	2010-01-11 13:03:00	--------
10007	2010-01-11 13:03:00	--------
10008	2010-01-11 13:21:36	--------
10005	2010-01-11 13:30:54	--------
10010	2010-01-11 13:30:54	--------
10004	2010-01-11 13:35:33	--------
10005	2010-01-11 13:44:51	--------
10001	2010-01-11 13:54:09	--------
10001	2010-01-11 13:58:48	--------
10006	2010-01-11 14:26:42	--------
10009	2010-01-11 14:26:42	--------
10005	2010-01-11 14:36:00	--------
10005	2010-01-11 14:45:18	--------
10007	2010-01-11 14:45:18	--------
10002	2010-01-11 15:22:30	--------
10005	2010-01-11 15:27:09	--------
10003	2010-01-11 15:50:24	--------
10007	2010-01-11 15:50:24	--------
10001	2010-01-11 16:04:21	--------
10005	2010-01-11 16:09:00	--------
10005	2010-01-11 16:27:36	--------
10006	2010-01-11 16:27:36	--------
10007	2010-01-11 16:46:12	--------
10009	2010-01-11 17:00:09	--------
10001	2010-01-11 17:09:27	--------
10005	2010-01-11 17:09:27	--------
10007	2010-01-11 17:09:27	--------
10010	2010-01-11 17:23:24	--------
10001	2010-01-11 17:32:42	--------
10004	2010-01-11 17:42:00	--------
10006	2010-01-11 17:55:57	--------
10008	2010-01-11 18:14:33	--------
10004	2010-01-11 18:19:12	--------
10007	2010-01-11 18:23:51	--------
10002	2010-01-11 18:28:30	--------
10005	2010-01-11 18:28:30	--------
10006	2010-01-11 18:28:30	--------
10005	2010-01-11 19:10:21	--------
10004	2010-01-11 19:15:00	--------
10005	2010-01-11 19:19:39	--------
10008	2010-01-11 19:19:39	--------
10001	2010-01-11 19:38:15	--------
10004	2010-01-11 19:38:15	--------
10008	2010-01-11 19:38:15	--------
10007	2010-01-11 20:01:30	--------
10010	2010-01-11 20:01:30	--------
10007	2010-01-11 20:06:09	--------
10004	2010-01-11 20:15:27	--------
10001	2010-01-11 20:34:03	--------
10000	2010-01-11 20:38:42	--------
10004	2010-01-11 21:01:57	--------
10006	2010-01-11 21:01:57	--------
10002	2010-01-11 21:29:51	--------
10008	2010-01-11 21:39:09	--------
10005	2010-01-11 21:53:06	--------
10010	2010-01-11 21:53:06	--------
10009	2010-01-11 21:57:45	--------
10006	2010-01-11 22:11:42	--------
10000	2010-01-11 22:16:21	--------
10005	2010-01-11 22:25:39	--------
10009	2010-01-11 22:30:18	--------
10010	2010-01-11 22:44:15	--------
10007	2010-01-11 23:07:30	--------
10006	2010-01-11 23:12:09	--------
10004	2010-01-11 23:16:48	--------
10001	2010-01-11 23:21:27	--------
10000	2010-01-11 23:40:03	--------
10005	2010-01-11 23:54:00	--------
10010	2010-01-12 00:12:36	--------
10005	2010-01-12 00:35:51	--------
10001	2010-01-12 01:17:42	--------
10005	2010-01-12 01:22:21	--------
10005	2010-01-12 01:31:39	--------
10007	2010-01-12 01:36:18	--------
10004	2010-01-12 01:40:57	--------
10010	2010-01-12 01:54:54	--------
10004	2010-01-12 02:13:30	--------
10001	2010-01-12 03:00:00	--------
10010	2010-01-12 03:13:57	--------
10005	2010-01-12 03:18:36	--------
10006	2010-01-12 03:37:12	--------
10009	2010-01-12 04:33:00	--------
10005	2010-01-12 04:46:57	--------
10008	2010-01-12 05:14:51	--------
10010	2010-01-12 05:14:51	--------
10005	2010-01-12 05:24:09	--------
10006	2010-01-12 05:24:09	--------
10008	2010-01-12 05:24:09	--------
10005	2010-01-12 05:28:48	--------
10010	2010-01-12 05:33:27	--------
10008	2010-01-12 05:42:45	--------
10010	2010-01-12 05:42:45	--------
10001	2010-01-12 06:29:15	--------
10000	2010-01-12 06:38:33	--------
10000	2010-01-12 07:11:06	--------
10004	2010-01-12 07:11:06	--------
10009	2010-01-12 07:11:06	--------
10006	2010-01-12 07:25:03	--------
10010	2010-01-12 07:34:21	--------
10004	2010-01-12 07:43:39	--------
10005	2010-01-12 07:57:36	--------
10003	2010-01-12 08:11:33	--------
10008	2010-01-12 08:20:51	--------
10007	2010-01-12 08:25:30	--------
10010	2010-01-12 08:25:30	--------
10007	2010-01-12 08:30:09	--------
10009	2010-01-12 08:34:48	--------
10005	2010-01-12 08:39:27	--------
10010	2010-01-12 09:02:42	--------
10008	2010-01-12 09:39:54	--------
10001	2010-01-12 09:49:12	--------
10005	2010-01-12 10:07:48	--------
10005	2010-01-12 10:17:06	--------
10004	2010-01-12 10:21:45	--------
10010	2010-01-12 10:35:42	--------
10005	2010-01-12 10:40:21	--------
10004	2010-01-12 11:08:15	--------
10001	2010-01-12 11:22:12	--------
10005	2010-01-12 11:26:51	--------
10000	2010-01-12 12:22:39	--------
10004	2010-01-12 12:22:39	--------
10010	2010-01-12 12:22:39	--------
10005	2010-01-12 12:31:57	--------
10005	2010-01-12 12:36:36	--------
10007	2010-01-12 12:41:15	--------
10005	2010-01-12 13:13:48	--------
10002	2010-01-12 13:27:45	--------
10006	2010-01-12 13:37:03	--------
10007	2010-01-12 13:41:42	--------
10008	2010-01-12 13:51:00	--------
10005	2010-01-12 14:37:30	--------
10008	2010-01-12 14:42:09	--------
10010	2010-01-12 14:56:06	--------
10001	2010-01-12 15:19:21	--------
10007	2010-01-12 15:19:21	--------
10005	2010-01-12 15:24:00	--------
10000	2010-01-12 16:10:30	--------
10003	2010-01-12 16:15:09	--------
10008	2010-01-12 16:33:45	--------
10005	2010-01-12 17:10:57	--------
10009	2010-01-12 17:15:36	--------
10004	2010-01-12 17:29:33	--------
10008	2010-01-12 17:38:51	--------
10009	2010-01-12 17:38:51	--------
10009	2010-01-12 17:48:09	--------
10004	2010-01-12 17:57:27	--------
10006	2010-01-12 18:02:06	--------
10001	2010-01-12 18:06:45	--------
10008	2010-01-12 18:25:21	--------
10005	2010-01-12 18:30:00	--------
10010	2010-01-12 18:30:00	--------
10009	2010-01-12 18:43:57	--------
10005	2010-01-12 18:48:36	--------
10005	2010-01-12 18:53:15	--------
10009	2010-01-12 18:53:15	--------
10004	2010-01-12 19:07:12	--------
10003	2010-01-12 19:11:51	--------
10000	2010-01-12 19:21:09	--------
10004	2010-01-12 19:21:09	--------
10002	2010-01-12 19:35:06	--------
10009	2010-01-12 20:12:18	--------
10010	2010-01-12 20:12:18	--------
10010	2010-01-12 20:26:15	--------
10001	2010-01-12 20:30:54	--------
10008	2010-01-12 20:30:54	--------
10007	2010-01-12 20:58:48	--------
10008	2010-01-12 20:58:48	--------
10005	2010-01-12 21:08:06	--------
10001	2010-01-12 21:17:24	--------
