Date	PlateNumber	IllegalMatter	Fines	Settled	SettledDate	LateFees
2009-01-17 10:40:00	951 LYX	Retrograde	2000	true	2009-02-04 13:40:00	0
2009-01-17 12:15:00	291 YHS	Red light	50	false		18
2009-01-17 12:30:00	JOC 099	Red light	50	true	2009-02-08 13:00:00	0
2009-01-17 14:55:00	MJK 913	Impose on yellow line	100	false		36
2009-01-17 15:05:00	KFJ 026	Disobey the policeman	400	false		144
2009-01-17 17:15:00	NZW 417	Speeding	600	true	2009-01-19 12:45:00	0
2009-01-17 17:20:00	RST 934	Illegal U-turn	400	false		144
2009-01-17 18:10:00	IAY 716	Red light	50	false		18
2009-01-17 21:20:00	OCJ 052	Parking	100	true	2009-02-21 12:05:00	12
2009-01-17 21:30:00	495 VDG	Red light	50	true	2009-02-11 15:25:00	0
2009-01-17 23:40:00	QIP 923	Red light	50	false		18
2009-01-18 00:45:00	900 MCM	Drunk driving	2000	true	2009-01-21 15:10:00	0
2009-01-18 02:30:00	JTN 699	Red light	50	true	2009-02-08 09:35:00	0
2009-01-18 03:10:00	HYO 319	Illegal U-turn	400	true	2009-02-02 13:00:00	0
2009-01-18 03:50:00	264 AZA	Illegal U-turn	400	true	2009-02-02 17:45:00	0
2009-01-18 04:10:00	FTO 222	Red light	50	false		16
2009-01-18 04:15:00	372 QII	Unlicensed	600	false		198
2009-01-18 05:00:00	PJS 976	Red light	50	true	2009-02-06 11:25:00	0
2009-01-18 08:40:00	PYR 406	Unlicensed	600	true	2009-02-02 17:10:00	0
2009-01-18 09:00:00	343 DOJ	Red light	50	true	2009-02-23 17:25:00	9
2009-01-18 13:20:00	CBD 633	Speeding	600	true	2009-01-18 15:45:00	0
2009-01-18 16:05:00	877 LTX	Speeding	600	true	2009-02-17 09:25:00	0
2009-01-18 18:05:00	ECS 388	Parking	100	true	2009-02-28 12:10:00	30
2009-01-18 18:25:00	692 LPP	Unlicensed	600	true	2009-01-26 16:30:00	0
2009-01-18 20:00:00	ZOV 847	Drunk driving	2000	false		660
2009-01-18 22:40:00	SKF 413	Impose on yellow line	100	true	2009-02-28 17:25:00	30
2009-01-19 01:55:00	HAX 653	Impose on yellow line	100	false		30
2009-01-19 04:15:00	641 YKD	Disobey the policeman	400	false		120
2009-01-19 05:45:00	HNG 055	Retrograde	2000	false		600
2009-01-19 07:25:00	396 LBH	Unlicensed	600	false		180
2009-01-19 08:40:00	249 FEK	Drunk driving	2000	false		600
2009-01-19 09:35:00	JYU 409	Unlicensed	600	true	2009-01-22 10:30:00	0
2009-01-19 11:00:00	GCM 730	Impose on yellow line	100	false		30
2009-01-19 13:55:00	OTP 622	Parking	100	false		30
2009-01-19 14:25:00	QJN 330	Unlicensed	600	false		180
2009-01-19 17:20:00	MFI 680	Disobey the policeman	400	true	2009-01-20 16:30:00	0
2009-01-19 18:00:00	WFH 109	Retrograde	2000	true	2009-02-07 14:15:00	0
2009-01-23 08:15:00	DBB 068	Speeding	600	true	2009-02-12 15:15:00	0
2009-01-23 09:40:00	UTA 884	Illegal U-turn	400	true	2009-02-11 09:45:00	0
2009-01-23 13:30:00	FAM 979	Illegal U-turn	400	false		72
2009-01-23 20:25:00	915 ILN	Red light	50	false		9
2009-01-23 22:05:00	FKE 633	Speeding	600	true	2009-02-09 09:10:00	0
2009-01-23 22:25:00	413 KFE	Drunk driving	2000	false		360
2009-01-23 22:40:00	OKC 192	Parking	100	true	2009-02-09 15:45:00	0
2009-01-23 22:55:00	861 OCM	Speeding	600	true	2009-02-25 10:10:00	36
2009-01-23 23:15:00	049 EVQ	Unlicensed	600	true	2009-02-04 11:05:00	0
2009-01-23 23:30:00	821 NJB	Red light	50	true	2009-02-12 15:50:00	0
2009-01-23 23:45:00	ZLY 906	Disobey the policeman	400	true	2009-02-26 11:50:00	36
2009-01-24 00:05:00	268 KGM	Parking	100	false		15
2009-01-24 02:20:00	266 ZUK	Impose on yellow line	100	false		15
2009-01-24 02:25:00	LSU 123	Disobey the policeman	400	true	2009-02-15 10:05:00	0
2009-01-24 02:55:00	VAX 676	Parking	100	true	2009-02-26 14:15:00	9
2009-01-24 05:15:00	LPR 653	Illegal U-turn	400	true	2009-01-30 17:50:00	0
2009-01-24 05:35:00	LAD 633	Parking	100	true	2009-02-22 13:30:00	0
2009-01-24 08:05:00	WGB 125	Illegal U-turn	400	true	2009-02-23 17:55:00	0
2009-01-24 09:00:00	PJB 709	Retrograde	2000	false		300
2009-01-24 10:05:00	857 DSG	Red light	50	true	2009-02-02 16:10:00	0
2009-01-24 12:05:00	214 NNA	Parking	100	false		15
2009-01-24 12:55:00	JFE 271	Disobey the policeman	400	true	2009-01-25 12:25:00	0
2009-01-24 14:00:00	SVJ 358	Impose on yellow line	100	false		15
2009-01-24 16:30:00	KMW 318	Impose on yellow line	100	true	2009-02-05 12:00:00	0
2009-01-24 16:50:00	FVQ 781	Parking	100	false		15
2009-01-24 18:50:00	PFS 080	Speeding	600	true	2009-02-27 09:35:00	54
2009-01-24 19:55:00	DZK 089	Unlicensed	600	true	2009-02-11 13:45:00	0
2009-01-24 20:20:00	AXL 121	Drunk driving	2000	true	2009-02-20 17:50:00	0
2009-01-24 21:40:00	XUI 576	Red light	50	false		8
2009-01-24 23:35:00	FZD 171	Impose on yellow line	100	false		15
2009-01-25 00:10:00	365 ZSH	Illegal U-turn	400	true	2009-02-24 15:50:00	0
2009-01-25 00:55:00	ESA 219	Parking	100	true	2009-02-18 16:45:00	0
2009-01-25 01:25:00	HFQ 785	Speeding	600	true	2009-02-06 10:00:00	0
2009-01-25 03:40:00	ZQH 466	Drunk driving	2000	true	2009-02-25 15:45:00	60
2009-01-25 03:50:00	XOW 554	Impose on yellow line	100	true	2009-02-02 14:50:00	0
2009-01-25 06:50:00	FBD 974	Drunk driving	2000	true	2009-02-21 13:45:00	0
2009-01-25 07:55:00	MVJ 389	Illegal U-turn	400	true	2009-02-01 14:55:00	0
2009-01-25 08:10:00	FKX 769	Drunk driving	2000	true	2009-02-18 09:40:00	0
2009-01-25 10:35:00	OAC 980	Disobey the policeman	400	true	2009-02-15 11:05:00	0
2009-01-25 13:10:00	589 GLO	Red light	50	false		6
2009-01-25 14:50:00	577 FQU	Illegal U-turn	400	true	2009-02-16 16:20:00	0
2009-01-25 15:10:00	YHL 343	Disobey the policeman	400	false		48
2009-01-25 18:15:00	GFC 488	Retrograde	2000	true	2009-02-22 13:40:00	0
2009-01-25 19:25:00	JJY 897	Red light	50	true	2009-02-23 15:50:00	0
2009-01-25 22:05:00	423 KDJ	Drunk driving	2000	false		240
2009-01-26 03:25:00	QRV 776	Red light	50	false		4
2009-01-26 04:00:00	JNW 959	Retrograde	2000	true	2009-02-27 14:45:00	120
2009-01-26 06:50:00	150 EYH	Retrograde	2000	true	2009-02-24 10:05:00	0
2009-01-26 08:30:00	376 IKN	Drunk driving	2000	false		180
2009-01-26 08:55:00	LXQ 152	Parking	100	false		9
2009-01-26 09:15:00	WLW 027	Red light	50	false		4
2009-01-26 10:10:00	VYW 656	Unlicensed	600	false		54
2009-01-26 13:40:00	XCK 085	Retrograde	2000	true	2009-01-30 09:50:00	0
2009-01-26 14:40:00	ZBK 257	Impose on yellow line	100	true	2009-01-29 09:35:00	0
2009-01-26 15:00:00	840 QZJ	Retrograde	2000	false		180
2009-01-26 17:05:00	VZD 949	Illegal U-turn	400	true	2009-01-28 12:25:00	0
2009-01-26 18:30:00	PIJ 236	Illegal U-turn	400	false		36
2009-01-26 19:45:00	285 MLJ	Disobey the policeman	400	true	2009-02-23 12:35:00	0
2009-01-26 20:20:00	272 BTI	Impose on yellow line	100	true	2009-02-26 12:40:00	0
2009-01-26 20:55:00	FKO 577	Unlicensed	600	true	2009-02-18 12:50:00	0
2009-01-26 22:50:00	SEW 552	Retrograde	2000	false		180
2009-01-27 01:05:00	BBZ 843	Speeding	600	true	2009-02-19 14:20:00	0
2009-01-27 01:15:00	TYW 029	Retrograde	2000	true	2009-02-07 16:00:00	0
2009-01-27 01:25:00	421 PBB	Disobey the policeman	400	true	2009-02-04 16:40:00	0
2009-01-27 01:45:00	KMJ 375	Drunk driving	2000	true	2009-01-31 14:25:00	0
2009-01-27 01:50:00	242 QRX	Disobey the policeman	400	true	2009-02-24 11:10:00	0
2009-01-27 03:00:00	EQE 953	Illegal U-turn	400	false		24
2009-01-27 04:45:00	JAJ 690	Red light	50	false		3
2009-01-27 06:50:00	CHF 115	Disobey the policeman	400	false		24
2009-01-27 07:55:00	RFG 245	Unlicensed	600	false		36
2009-01-27 09:35:00	MXZ 343	Red light	50	false		3
2009-01-27 09:55:00	091 ISR	Parking	100	false		6
2009-01-27 11:00:00	671 URC	Disobey the policeman	400	false		24
2009-01-27 12:30:00	468 UDT	Disobey the policeman	400	true	2009-02-19 16:20:00	0
2009-01-27 13:40:00	934 PFS	Parking	100	false		6
2009-01-27 14:25:00	IFD 227	Red light	50	true	2009-02-11 14:40:00	0
2009-01-27 14:40:00	279 MIM	Retrograde	2000	false		120
2009-01-27 15:20:00	WXE 959	Red light	50	false		3
2009-01-27 16:45:00	766 PQQ	Drunk driving	2000	true	2009-02-20 13:00:00	0
2009-01-27 17:45:00	TXR 091	Disobey the policeman	400	false		24
2009-01-27 23:50:00	GIR 136	Drunk driving	2000	true	2009-01-28 17:10:00	0
2009-01-28 00:00:00	YYH 062	Drunk driving	2000	true	2009-02-24 16:45:00	0
2009-01-28 01:40:00	RVV 853	Parking	100	false		3
2009-01-28 02:50:00	BXJ 823	Speeding	600	true	2009-02-01 16:50:00	0
2009-01-28 03:15:00	KJM 627	Parking	100	false		3
2009-01-28 04:20:00	VBT 344	Unlicensed	600	true	2009-02-14 16:45:00	0
2009-01-28 06:15:00	VBS 031	Red light	50	false		2
2009-01-28 07:15:00	JWI 851	Red light	50	true	2009-02-12 09:10:00	0
2009-01-28 12:25:00	907 RXH	Disobey the policeman	400	false		12
2009-01-28 15:05:00	QPZ 746	Illegal U-turn	400	true	2009-02-14 13:05:00	0
2009-01-28 17:05:00	880 WTM	Drunk driving	2000	true	2009-02-08 14:20:00	0
2009-01-28 18:15:00	880 CGA	Impose on yellow line	100	true	2009-02-13 17:15:00	0
2009-01-28 19:15:00	INW 746	Illegal U-turn	400	false		12
2009-01-28 20:25:00	ZLK 464	Illegal U-turn	400	false		12
2009-01-28 22:15:00	ZTL 888	Retrograde	2000	false		60
2009-01-28 22:40:00	LGW 386	Drunk driving	2000	false		60
2009-01-29 01:00:00	971 AVL	Retrograde	2000	true	2009-02-04 11:20:00	0
2009-01-29 01:25:00	484 CFN	Drunk driving	2000	true	2009-02-01 11:55:00	0
2009-01-29 03:20:00	XQF 021	Impose on yellow line	100	true	2009-02-10 15:15:00	0
2009-01-29 03:30:00	222 XOY	Unlicensed	600	true	2009-02-27 15:20:00	0
2009-01-29 04:25:00	KVX 767	Impose on yellow line	100	true	2009-02-23 10:00:00	0
2009-01-29 06:50:00	XNZ 365	Retrograde	2000	false		0
2009-01-29 08:10:00	UQP 418	Red light	50	true	2009-02-07 09:05:00	0
2009-01-29 11:00:00	090 XZW	Drunk driving	2000	false		0
2009-01-29 15:05:00	APN 716	Retrograde	2000	true	2009-02-07 09:45:00	0
2009-01-29 16:45:00	QFG 657	Unlicensed	600	false		0
2009-01-29 16:50:00	ZPK 603	Illegal U-turn	400	true	2009-02-06 10:05:00	0
2009-01-29 18:00:00	JMR 183	Drunk driving	2000	false		0
2009-01-29 18:50:00	079 FVL	Disobey the policeman	400	true	2009-02-11 12:50:00	0
2009-01-29 21:05:00	AJK 696	Retrograde	2000	true	2009-02-23 15:30:00	0
2009-01-29 22:35:00	PGJ 007	Parking	100	false		0
2009-01-29 23:15:00	POF 374	Disobey the policeman	400	false		0
2009-01-30 00:10:00	KMC 130	Speeding	600	false		0
2009-01-30 00:40:00	LVB 987	Speeding	600	true	2009-02-27 12:50:00	0
2009-01-30 01:35:00	HAA 826	Drunk driving	2000	false		0
2009-01-30 03:15:00	693 RUH	Parking	100	true	2009-02-28 16:20:00	0
2009-01-30 03:20:00	ZFC 277	Drunk driving	2000	false		0
2009-01-30 09:30:00	KEH 832	Retrograde	2000	false		0
2009-01-30 12:45:00	IJC 294	Disobey the policeman	400	false		0
2009-01-30 13:00:00	HUZ 445	Disobey the policeman	400	false		0
2009-01-30 13:20:00	IMA 157	Speeding	600	true	2009-02-05 12:45:00	0
2009-01-30 14:00:00	UXH 002	Retrograde	2000	true	2009-02-08 10:30:00	0
2009-01-30 14:35:00	012 WKL	Illegal U-turn	400	true	2009-02-12 10:15:00	0
2009-01-30 14:40:00	DKV 462	Illegal U-turn	400	true	2009-02-08 11:00:00	0
2009-01-30 15:40:00	192 RZF	Speeding	600	false		0
2009-01-30 16:25:00	UHP 910	Illegal U-turn	400	false		0
2009-01-30 16:50:00	ZFK 147	Speeding	600	false		0
2009-01-30 17:00:00	EXF 874	Drunk driving	2000	true	2009-02-16 17:40:00	0
2009-01-30 17:05:00	681 NUX	Parking	100	true	2009-02-24 15:40:00	0
2009-01-30 17:45:00	GPU 999	Unlicensed	600	false		0
2009-01-30 18:35:00	IMI 708	Unlicensed	600	false		0
2009-01-30 19:35:00	586 EXJ	Unlicensed	600	true	2009-01-31 13:50:00	0
2009-01-30 22:50:00	446 YWJ	Drunk driving	2000	true	2009-02-20 13:30:00	0
2009-01-30 23:05:00	YTV 437	Disobey the policeman	400	false		0
2009-01-31 00:00:00	HFM 001	Parking	100	true	2009-02-17 13:30:00	0
2009-01-31 02:10:00	797 KPP	Parking	100	false		0
2009-01-31 03:20:00	680 CFL	Red light	50	false		0
2009-01-31 04:00:00	CPK 619	Illegal U-turn	400	false		0
2009-01-31 04:40:00	948 NBR	Illegal U-turn	400	true	2009-02-25 17:25:00	0
2009-01-31 07:25:00	KZT 826	Retrograde	2000	true	2009-02-22 14:50:00	0
2009-01-31 07:40:00	419 IVZ	Illegal U-turn	400	false		0
2009-01-31 08:45:00	838 SYJ	Speeding	600	false		0
2009-01-31 09:20:00	506 VWG	Illegal U-turn	400	true	2009-02-13 17:50:00	0
2009-01-31 13:40:00	SFP 199	Parking	100	true	2009-02-24 14:35:00	0
2009-01-31 18:05:00	ULY 327	Drunk driving	2000	false		0
2009-01-31 18:20:00	882 IRH	Parking	100	false		0
2009-01-31 18:50:00	314 XUK	Retrograde	2000	false		0
2009-01-31 19:10:00	MXC 410	Impose on yellow line	100	false		0
2009-01-31 20:35:00	PFO 386	Red light	50	true	2009-02-03 13:25:00	0
2009-01-31 20:40:00	HMD 904	Disobey the policeman	400	true	2009-02-03 10:10:00	0
2009-02-01 00:40:00	ZTK 522	Speeding	600	false		0
2009-02-01 08:55:00	275 IBZ	Illegal U-turn	400	false		0
2009-02-01 10:20:00	501 NXR	Speeding	600	true	2009-02-09 10:30:00	0
2009-02-01 11:25:00	059 RXJ	Disobey the policeman	400	false		0
2009-02-01 12:05:00	ZUD 907	Impose on yellow line	100	false		0
2009-02-01 14:20:00	RRK 686	Drunk driving	2000	true	2009-02-27 16:40:00	0
2009-02-01 14:50:00	484 BBS	Impose on yellow line	100	true	2009-02-17 17:05:00	0
2009-02-01 15:00:00	BUV 163	Drunk driving	2000	false		0
2009-02-01 17:30:00	JEP 401	Red light	50	false		0
2009-02-01 17:45:00	LCT 022	Unlicensed	600	true	2009-02-10 17:25:00	0
2009-02-01 19:20:00	JBV 180	Impose on yellow line	100	true	2009-02-13 17:10:00	0
2009-02-01 20:05:00	KCX 922	Disobey the policeman	400	false		0
2009-02-01 20:25:00	493 VYU	Drunk driving	2000	true	2009-02-17 11:50:00	0
2009-02-01 20:50:00	SJB 684	Unlicensed	600	true	2009-02-09 09:15:00	0
2009-02-01 21:50:00	UKZ 677	Parking	100	false		0
2009-02-02 01:40:00	ROZ 795	Parking	100	false		0
2009-02-02 04:10:00	937 TKK	Drunk driving	2000	false		0
2009-02-02 06:05:00	EKS 369	Drunk driving	2000	true	2009-02-15 12:20:00	0
2009-02-02 06:10:00	WLV 820	Parking	100	true	2009-02-07 15:05:00	0
2009-02-02 08:25:00	TTQ 773	Parking	100	false		0
2009-02-02 08:45:00	043 IUA	Parking	100	false		0
2009-02-02 08:55:00	926 XCH	Disobey the policeman	400	false		0
2009-02-02 09:10:00	ZIA 577	Retrograde	2000	true	2009-02-13 14:10:00	0
2009-02-02 10:45:00	196 OOB	Illegal U-turn	400	false		0
2009-02-02 13:10:00	YXO 531	Parking	100	true	2009-02-27 17:35:00	0
2009-02-02 14:10:00	JYY 471	Disobey the policeman	400	true	2009-02-06 15:05:00	0
2009-02-02 15:10:00	XNY 414	Illegal U-turn	400	false		0
2009-02-02 15:50:00	264 JOT	Retrograde	2000	false		0
2009-02-02 16:25:00	KRX 099	Drunk driving	2000	true	2009-02-12 13:15:00	0
2009-02-02 17:40:00	ZZD 966	Retrograde	2000	false		0
2009-02-02 19:10:00	NCZ 318	Red light	50	true	2009-02-16 14:05:00	0
2009-02-02 19:45:00	TEH 725	Parking	100	false		0
2009-02-02 20:50:00	NAG 992	Retrograde	2000	false		0
2009-02-02 22:15:00	KPJ 500	Impose on yellow line	100	true	2009-02-19 15:35:00	0
2009-02-02 22:40:00	777 EDC	Impose on yellow line	100	false		0
2009-02-02 23:45:00	NMH 486	Illegal U-turn	400	false		0
2009-02-02 23:55:00	BRM 166	Drunk driving	2000	false		0
2009-02-03 00:00:00	DPO 630	Red light	50	true	2009-02-20 17:55:00	0
2009-02-03 01:00:00	PIW 264	Illegal U-turn	400	false		0
2009-02-03 01:10:00	901 XGF	Disobey the policeman	400	false		0
2009-02-03 02:25:00	328 FFI	Parking	100	false		0
2009-02-03 04:05:00	920 BRZ	Red light	50	true	2009-02-23 17:20:00	0
2009-02-03 04:55:00	HRO 226	Parking	100	true	2009-02-14 09:55:00	0
2009-02-03 07:45:00	038 EGP	Speeding	600	false		0
2009-02-03 08:25:00	780 HZT	Drunk driving	2000	true	2009-02-04 15:40:00	0
2009-02-03 09:25:00	GGB 104	Disobey the policeman	400	false		0
2009-02-03 11:35:00	SFA 045	Disobey the policeman	400	false		0
2009-02-03 11:50:00	RPI 520	Red light	50	false		0
2009-02-03 17:45:00	TNT 543	Retrograde	2000	true	2009-02-11 14:35:00	0
2009-02-03 21:55:00	IGT 040	Drunk driving	2000	false		0
2009-02-03 22:05:00	CSD 803	Parking	100	true	2009-02-18 13:50:00	0
2009-02-03 22:55:00	AGT 440	Drunk driving	2000	true	2009-02-04 15:50:00	0
2009-02-03 23:35:00	RDY 560	Speeding	600	true	2009-02-09 14:05:00	0
2009-02-03 23:50:00	GVE 674	Impose on yellow line	100	false		0
2009-02-04 04:15:00	KUB 733	Speeding	600	true	2009-02-14 11:00:00	0
2009-02-04 04:20:00	HZB 953	Disobey the policeman	400	false		0
2009-02-04 05:45:00	838 OZP	Parking	100	true	2009-02-16 16:10:00	0
2009-02-04 06:30:00	936 AWH	Disobey the policeman	400	true	2009-02-27 12:15:00	0
2009-02-04 07:30:00	438 XBU	Red light	50	false		0
2009-02-04 07:50:00	GUF 973	Red light	50	false		0
2009-02-04 08:10:00	POS 223	Impose on yellow line	100	true	2009-02-12 15:40:00	0
2009-02-04 09:00:00	XDB 839	Drunk driving	2000	false		0
2009-02-04 09:20:00	AGG 977	Retrograde	2000	false		0
2009-02-04 12:30:00	437 ATU	Red light	50	false		0
2009-02-04 12:40:00	QXX 613	Illegal U-turn	400	true	2009-02-13 14:45:00	0
2009-02-04 14:10:00	DCK 922	Red light	50	false		0
2009-02-04 17:45:00	053 HIF	Drunk driving	2000	false		0
2009-02-04 19:35:00	763 BRV	Parking	100	true	2009-02-07 17:50:00	0
2009-02-04 19:40:00	QBA 876	Red light	50	false		0
2009-02-04 20:05:00	ZHJ 939	Impose on yellow line	100	false		0
2009-02-04 23:30:00	PIT 006	Red light	50	false		0
2009-02-05 00:10:00	ANP 226	Red light	50	false		0
2009-02-05 00:30:00	FOW 800	Retrograde	2000	false		0
2009-02-05 03:45:00	UJY 451	Illegal U-turn	400	false		0
2009-02-05 04:50:00	PRS 146	Illegal U-turn	400	false		0
2009-02-05 08:45:00	NOX 180	Disobey the policeman	400	false		0
2009-02-05 09:35:00	TAV 042	Unlicensed	600	false		0
2009-02-05 10:30:00	FUS 499	Illegal U-turn	400	true	2009-02-28 17:25:00	0
2009-02-05 12:30:00	UXI 610	Unlicensed	600	false		0
2009-02-05 13:45:00	TIF 409	Illegal U-turn	400	true	2009-02-08 12:20:00	0
2009-02-05 14:25:00	ECH 318	Speeding	600	false		0
2009-02-05 15:45:00	460 GOT	Red light	50	true	2009-02-15 10:30:00	0
2009-02-05 17:15:00	351 FXN	Retrograde	2000	false		0
2009-02-05 18:30:00	FZN 009	Red light	50	true	2009-02-12 14:20:00	0
2009-02-05 20:05:00	974 HIM	Retrograde	2000	false		0
2009-02-05 21:55:00	TGT 377	Impose on yellow line	100	true	2009-02-13 16:45:00	0
2009-02-05 22:25:00	757 YYM	Drunk driving	2000	false		0
2009-02-06 00:20:00	HKI 269	Drunk driving	2000	false		0
2009-02-06 00:25:00	PXD 190	Impose on yellow line	100	true	2009-02-18 17:40:00	0
2009-02-06 02:45:00	793 FDQ	Retrograde	2000	false		0
2009-02-06 03:00:00	498 OGS	Unlicensed	600	true	2009-02-14 13:10:00	0
2009-02-06 07:45:00	VSA 157	Unlicensed	600	false		0
2009-02-06 11:15:00	UAQ 531	Impose on yellow line	100	false		0
2009-02-06 12:45:00	ZPI 073	Retrograde	2000	true	2009-02-21 09:50:00	0
2009-02-06 12:50:00	LSI 575	Speeding	600	false		0
2009-02-06 13:00:00	BTT 491	Retrograde	2000	true	2009-02-15 12:45:00	0
2009-02-06 14:10:00	QDP 909	Illegal U-turn	400	true	2009-02-07 09:25:00	0
2009-02-06 15:45:00	TZJ 556	Drunk driving	2000	false		0
2009-02-06 16:20:00	640 DQA	Speeding	600	false		0
2009-02-06 18:10:00	BFU 012	Retrograde	2000	false		0
2009-02-06 18:30:00	KLX 246	Illegal U-turn	400	false		0
2009-02-06 19:45:00	MCG 798	Speeding	600	true	2009-02-25 10:45:00	0
2009-02-06 20:25:00	FJZ 281	Impose on yellow line	100	true	2009-02-27 11:35:00	0
2009-02-07 01:00:00	WAN 935	Drunk driving	2000	false		0
2009-02-07 01:45:00	DFU 031	Parking	100	false		0
2009-02-07 02:00:00	346 CJB	Retrograde	2000	true	2009-02-09 14:15:00	0
2009-02-07 03:30:00	FXU 904	Drunk driving	2000	false		0
2009-02-07 06:30:00	AYK 843	Illegal U-turn	400	false		0
2009-02-07 08:50:00	GMH 559	Parking	100	false		0
2009-02-07 10:50:00	LPY 136	Parking	100	false		0
2009-02-07 13:20:00	HAS 671	Unlicensed	600	false		0
2009-02-07 14:30:00	188 HLF	Red light	50	true	2009-02-08 13:35:00	0
2009-02-07 15:35:00	LSA 187	Drunk driving	2000	false		0
2009-02-07 15:40:00	636 REV	Speeding	600	true	2009-02-24 14:50:00	0
2009-02-07 17:55:00	UHC 368	Unlicensed	600	false		0
2009-02-07 18:35:00	IOI 059	Impose on yellow line	100	false		0
2009-02-07 20:00:00	UGX 122	Disobey the policeman	400	false		0
2009-02-07 22:30:00	RHS 417	Red light	50	false		0
2009-02-08 00:50:00	RNS 071	Unlicensed	600	true	2009-02-09 16:10:00	0
2009-02-08 01:05:00	HJO 195	Speeding	600	true	2009-02-12 11:35:00	0
2009-02-08 03:30:00	NZM 199	Red light	50	false		0
2009-02-08 06:10:00	UIQ 049	Red light	50	false		0
2009-02-08 10:50:00	YCR 571	Red light	50	false		0
2009-02-08 11:35:00	449 TYY	Retrograde	2000	true	2009-02-10 16:25:00	0
2009-02-08 12:15:00	IGT 386	Parking	100	false		0
2009-02-08 12:40:00	TBU 137	Drunk driving	2000	true	2009-02-23 11:55:00	0
2009-02-08 13:05:00	525 GWR	Parking	100	true	2009-02-13 11:20:00	0
2009-02-08 13:30:00	VBJ 018	Speeding	600	false		0
2009-02-08 14:20:00	PID 244	Impose on yellow line	100	false		0
2009-02-08 15:20:00	986 JHS	Speeding	600	false		0
2009-02-08 15:25:00	MTZ 118	Impose on yellow line	100	true	2009-02-18 14:45:00	0
2009-02-08 16:55:00	586 DHR	Speeding	600	false		0
2009-02-08 17:20:00	815 FDK	Parking	100	false		0
2009-02-08 23:00:00	BCT 015	Retrograde	2000	true	2009-02-16 10:00:00	0
2009-02-08 23:20:00	786 PYZ	Drunk driving	2000	false		0
2009-02-08 23:25:00	086 OPI	Drunk driving	2000	false		0
2009-02-09 00:40:00	ZKC 261	Red light	50	false		0
2009-02-09 05:00:00	VXM 707	Retrograde	2000	false		0
2009-02-09 05:40:00	583 IRI	Impose on yellow line	100	false		0
2009-02-09 06:10:00	994 DLM	Disobey the policeman	400	true	2009-02-23 17:55:00	0
2009-02-09 09:40:00	RMD 231	Disobey the policeman	400	false		0
2009-02-09 13:50:00	114 KNO	Impose on yellow line	100	true	2009-02-09 14:05:00	0
2009-02-09 17:20:00	EZQ 348	Disobey the policeman	400	false		0
2009-02-09 17:25:00	VPH 011	Disobey the policeman	400	false		0
2009-02-09 19:10:00	KGU 036	Disobey the policeman	400	false		0
2009-02-09 19:35:00	ERR 359	Impose on yellow line	100	false		0
2009-02-09 20:20:00	MCK 255	Speeding	600	true	2009-02-15 13:15:00	0
2009-02-09 23:20:00	XFY 736	Red light	50	true	2009-02-22 12:25:00	0
2009-02-10 01:10:00	RDG 828	Impose on yellow line	100	true	2009-02-11 11:40:00	0
2009-02-10 02:30:00	XPB 209	Unlicensed	600	false		0
2009-02-10 02:55:00	295 SNX	Speeding	600	false		0
2009-02-10 03:30:00	FBT 207	Impose on yellow line	100	true	2009-02-15 09:35:00	0
2009-02-10 04:35:00	IOW 659	Unlicensed	600	false		0
2009-02-10 05:15:00	RFP 974	Unlicensed	600	false		0
2009-02-10 08:30:00	ABB 669	Disobey the policeman	400	true	2009-02-27 15:45:00	0
2009-02-10 10:00:00	CVU 661	Drunk driving	2000	false		0
2009-02-10 10:55:00	AWB 056	Unlicensed	600	false		0
2009-02-10 11:00:00	YNY 432	Red light	50	false		0
2009-02-10 11:05:00	VUA 400	Unlicensed	600	true	2009-02-20 09:10:00	0
2009-02-10 11:55:00	PRF 397	Parking	100	false		0
2009-02-10 13:10:00	VLU 297	Retrograde	2000	false		0
2009-02-10 14:35:00	VBU 713	Impose on yellow line	100	false		0
2009-02-10 15:10:00	NMY 884	Speeding	600	false		0
2009-02-10 15:35:00	BTD 345	Red light	50	true	2009-02-18 17:15:00	0
2009-02-10 16:10:00	974 KNB	Red light	50	false		0
2009-02-10 18:00:00	QNY 345	Disobey the policeman	400	false		0
2009-02-11 00:35:00	TRV 066	Drunk driving	2000	false		0
2009-02-11 01:30:00	309 KLM	Retrograde	2000	false		0
2009-02-11 02:55:00	437 ETM	Red light	50	false		0
2009-02-11 04:25:00	SMC 366	Speeding	600	false		0
2009-02-11 08:20:00	FZX 304	Parking	100	false		0
2009-02-11 09:20:00	141 EQM	Impose on yellow line	100	true	2009-02-28 10:05:00	0
2009-02-11 12:00:00	QPM 044	Drunk driving	2000	false		0
2009-02-11 14:20:00	PHD 723	Speeding	600	false		0
2009-02-11 14:45:00	JVO 474	Disobey the policeman	400	false		0
2009-02-11 16:10:00	913 PBD	Disobey the policeman	400	false		0
2009-02-11 16:30:00	KYJ 274	Red light	50	false		0
2009-02-11 17:10:00	019 RFK	Parking	100	false		0
2009-02-11 17:35:00	OWI 220	Illegal U-turn	400	true	2009-02-15 09:15:00	0
2009-02-11 18:55:00	IBS 382	Speeding	600	false		0
2009-02-11 21:30:00	NGR 338	Speeding	600	false		0
2009-02-11 21:45:00	EMF 495	Red light	50	true	2009-02-15 15:25:00	0
2009-02-11 21:55:00	FQV 791	Illegal U-turn	400	false		0
