S/N	ContractNo	Date	Repayment
13259	100424	2010-10-28 00:00:00	9750
13260	100423	2010-10-28 00:00:00	9000
13261	100429	2010-11-28 00:00:00	6125
13262	100424	2010-11-28 00:00:00	9750
13263	100426	2010-11-28 00:00:00	16875
13264	100421	2010-11-28 00:00:00	5500
13265	100422	2010-11-28 00:00:00	2875
13266	100427	2010-11-28 00:00:00	13000
13267	100423	2010-11-28 00:00:00	9000
13268	100425	2010-11-28 00:00:00	12125
13269	100430	2010-11-28 00:00:00	21625
13270	100428	2010-11-28 00:00:00	4625
13271	100426	2010-12-28 00:00:00	16875
13272	100423	2010-12-28 00:00:00	9000
13273	100430	2010-12-28 00:00:00	21625
13274	100424	2010-12-28 00:00:00	9750
13275	100428	2010-12-28 00:00:00	4625
13276	100422	2010-12-28 00:00:00	2875
13277	100425	2010-12-28 00:00:00	12125
13278	100429	2010-12-28 00:00:00	6125
13279	100421	2010-12-28 00:00:00	5500
13280	100427	2010-12-28 00:00:00	13000
