ContractNo	ActualSale	SellDate	Product	Quantity	Amount	Client	ApplyArea	ApplyMethod
10917	4	1997-03-02 00:00:00	30	1	365.89	ROMEY	EastChina	RESELL
10918	3	1997-03-02 00:00:00	1	60	1930.0	BOTTM	EastChina	RESELL
10919	2	1997-03-02 00:00:00	16	24	1122.8	LINOD	EastChina	RESELL
10920	4	1997-03-03 00:00:00	50	24	390.0	AROUT	EastChina	SELF_USE
10921	1	1997-03-03 00:00:00	35	10	1936.0	VAFFE	EastChina	RESELL
10922	5	1997-03-03 00:00:00	17	15	742.5	HANAR	EastChina	SELF_USE
10923	7	1997-03-03 00:00:00	42	10	936.0	LAMAI	SouthChina	RESELL
10924	3	1997-03-04 00:00:00	10	20	2034.5	BERGS	NorthChina	SELF_USE
10925	3	1997-03-04 00:00:00	36	25	559.0	HANAR	EastChina	RESELL
10926	4	1997-03-04 00:00:00	11	2	514.4	ANATR	Northeast	RESELL
10927	4	1997-03-05 00:00:00	20	5	800.0	LACOR	Northwest	RESELL
10928	1	1997-03-05 00:00:00	47	5	137.5	GALED	Southwest	RESELL
10929	6	1997-03-05 00:00:00	21	60	1174.75	FRANK	Southwest	SELF_USE
10930	4	1997-03-06 00:00:00	21	36	2455.0	SUPRD	SouthChina	RESELL
10931	4	1997-03-06 00:00:00	13	42	837.0	RICSU	Northeast	RESELL
10932	8	1997-03-06 00:00:00	16	30	1925.5	BONAP	Northeast	RESELL
10933	6	1997-03-06 00:00:00	53	2	920.6	ISLAT	EastChina	SELF_USE
10934	3	1997-03-09 00:00:00	6	20	500.0	LEHMS	EastChina	SELF_USE
10935	4	1997-03-09 00:00:00	1	21	700.0	WELLI	SouthChina	RESELL
10936	3	1997-03-09 00:00:00	36	30	570.0	GREAL	SouthChina	SELF_USE
10937	7	1997-03-10 00:00:00	28	8	644.8	CACTU	NorthChina	SELF_USE
10938	3	1997-03-10 00:00:00	13	20	3642.5	QUICK	EastChina	SELF_USE
10939	2	1997-03-10 00:00:00	2	10	750.0	MAGAA	SouthChina	RESELL
10940	8	1997-03-11 00:00:00	7	8	360.0	BONAP	SouthChina	RESELL
10941	7	1997-03-11 00:00:00	31	44	4769.0	SAVEA	EastChina	RESELL
10942	9	1997-03-11 00:00:00	49	28	560.0	REGGC	EastChina	SELF_USE
10943	4	1997-03-11 00:00:00	13	15	711.0	BSBEV	NorthChina	RESELL
10944	6	1997-03-12 00:00:00	11	5	1139.1	BOTTM	EastChina	SELF_USE
10945	4	1997-03-12 00:00:00	13	20	245.0	MORGK	NorthChina	RESELL
10946	1	1997-03-12 00:00:00	10	25	1407.5	VAFFE	NorthChina	SELF_USE
10947	3	1997-03-13 00:00:00	59	4	220.0	BSBEV	NorthChina	RESELL
10948	3	1997-03-13 00:00:00	50	9	2362.25	GODOS	SouthChina	RESELL
10949	2	1997-03-13 00:00:00	6	12	4422.0	BOTTM	EastChina	RESELL
10950	1	1997-03-16 00:00:00	4	5	110.0	MAGAA	NorthChina	RESELL
10951	9	1997-03-16 00:00:00	33	15	482.9	RICSU	EastChina	RESELL
10952	1	1997-03-16 00:00:00	6	16	538.7	ALFKI	EastChina	SELF_USE
10953	9	1997-03-16 00:00:00	20	50	4675.0	AROUT	NorthChina	RESELL
10954	5	1997-03-17 00:00:00	16	28	1902.1	LINOD	SouthChina	SELF_USE
10955	8	1997-03-17 00:00:00	75	12	93.0	FOLKO	Northeast	SELF_USE
10956	6	1997-03-17 00:00:00	21	12	677.0	BLAUS	EastChina	RESELL
10957	8	1997-03-18 00:00:00	30	30	1762.7	HILAA	Northwest	SELF_USE
10958	7	1997-03-18 00:00:00	5	20	781.0	OCEAN	Southwest	SELF_USE
10959	6	1997-03-18 00:00:00	75	20	155.0	GOURL	Southwest	SELF_USE
10960	3	1997-03-19 00:00:00	24	10	276.6	HILAA	EastChina	RESELL
11022	9	1997-04-14 00:00:00	19	35	1402.0	HANAR	SouthChina	SELF_USE
11023	1	1997-04-14 00:00:00	7	4	1500.0	BSBEV	NorthChina	SELF_USE
11024	4	1997-04-15 00:00:00	26	12	1966.81	EASTC	NorthChina	RESELL
11025	6	1997-04-15 00:00:00	1	10	300.0	WARTH	EastChina	SELF_USE
11026	4	1997-04-15 00:00:00	18	8	1030.0	FRANS	SouthChina	SELF_USE
11027	1	1997-04-16 00:00:00	24	30	1170.3	BOTTM	NorthChina	SELF_USE
11028	2	1997-04-16 00:00:00	55	35	2160.0	KOENE	EastChina	SELF_USE
11029	4	1997-04-16 00:00:00	56	20	1286.8	CHOPS	Southwest	SELF_USE
11030	7	1997-04-17 00:00:00	2	100	16321.9	SAVEA	Northeast	RESELL
11031	6	1997-04-17 00:00:00	1	45	2393.5	SAVEA	EastChina	RESELL
11032	2	1997-04-17 00:00:00	36	35	8902.5	WHITC	EastChina	RESELL
11033	7	1997-04-17 00:00:00	53	70	3592.0	RICSU	NorthChina	SELF_USE
11034	8	1997-04-20 00:00:00	21	15	554.4	OLDWO	NorthChina	RESELL
11035	2	1997-04-20 00:00:00	1	10	1754.5	SUPRD	EastChina	SELF_USE
11036	8	1997-04-20 00:00:00	13	7	1692.0	DRACD	EastChina	SELF_USE
11037	7	1997-04-21 00:00:00	70	4	60.0	GODOS	EastChina	RESELL
11038	1	1997-04-21 00:00:00	40	5	751.0	SUPRD	NorthChina	RESELL
11039	1	1997-04-21 00:00:00	28	20	3090.0	LINOD	EastChina	RESELL
11040	4	1997-04-22 00:00:00	21	20	200.0	GREAL	NorthChina	RESELL
11041	3	1997-04-22 00:00:00	2	30	1887.0	CHOPS	EastChina	SELF_USE
11042	2	1997-04-22 00:00:00	44	15	405.75	COMMI	EastChina	RESELL
11043	5	1997-04-22 00:00:00	11	10	210.0	SPECD	EastChina	RESELL
11044	4	1997-04-23 00:00:00	62	12	591.6	WOLZA	NorthChina	SELF_USE
11045	6	1997-04-23 00:00:00	33	15	1309.5	BOTTM	SouthChina	SELF_USE
11046	8	1997-04-23 00:00:00	12	20	1564.0	WANDK	EastChina	SELF_USE
11047	7	1997-04-24 00:00:00	1	25	1090.5	EASTC	NorthChina	SELF_USE
11048	7	1997-04-24 00:00:00	68	42	525.0	BOTTM	NorthChina	RESELL
11049	3	1997-04-24 00:00:00	2	10	342.0	GOURL	EastChina	RESELL
11050	8	1997-04-27 00:00:00	76	50	900.0	FOLKO	EastChina	SELF_USE
11051	7	1997-04-27 00:00:00	24	10	45.0	LAMAI	SouthChina	SELF_USE
11052	3	1997-04-27 00:00:00	43	30	1665.0	HANAR	SouthChina	SELF_USE
11053	2	1997-04-27 00:00:00	18	35	3658.75	PICCO	NorthChina	RESELL
11054	8	1997-04-28 00:00:00	33	10	305.0	CACTU	EastChina	SELF_USE
11055	7	1997-04-28 00:00:00	24	15	1727.5	HILAA	Southwest	RESELL
11056	8	1997-04-28 00:00:00	7	40	3740.0	EASTC	NorthChina	RESELL
11057	3	1997-04-29 00:00:00	70	3	45.0	NORTS	NorthChina	RESELL
11058	9	1997-04-29 00:00:00	21	3	858.0	BLAUS	NorthChina	RESELL
11059	2	1997-04-29 00:00:00	13	30	1838.0	RICAR	SouthChina	SELF_USE
11060	2	1997-04-30 00:00:00	60	4	266.0	FRANS	EastChina	SELF_USE
11061	4	1997-04-30 00:00:00	60	15	510.0	GREAL	SouthChina	RESELL
11062	4	1997-04-30 00:00:00	53	10	508.0	REGGC	EastChina	RESELL
11063	3	1997-04-30 00:00:00	34	30	1445.5	HUNGO	EastChina	SELF_USE
11064	1	1997-05-01 00:00:00	17	77	4722.3	SAVEA	EastChina	RESELL
11065	8	1997-05-01 00:00:00	30	4	252.56	LILAS	Southwest	SELF_USE
11066	7	1997-05-01 00:00:00	16	3	928.75	WHITC	EastChina	RESELL
11067	1	1997-05-04 00:00:00	41	9	86.85	DRACD	EastChina	SELF_USE
11068	8	1997-05-04 00:00:00	28	8	2384.8	QUEEN	Northeast	RESELL
11069	1	1997-05-04 00:00:00	39	20	360.0	TORTU	SouthChina	SELF_USE
11070	2	1997-05-05 00:00:00	1	40	1873.5	LEHMS	SouthChina	RESELL
11071	1	1997-05-05 00:00:00	7	15	510.0	LILAS	NorthChina	SELF_USE
11072	4	1997-05-05 00:00:00	2	8	5218.0	ERNSH	EastChina	SELF_USE
11073	2	1997-05-05 00:00:00	11	10	300.0	PERIC	SouthChina	RESELL
11074	7	1997-05-06 00:00:00	16	14	244.3	SIMOB	NorthChina	RESELL
11075	8	1997-05-06 00:00:00	2	10	586.0	RICSU	NorthChina	SELF_USE
11076	4	1997-05-06 00:00:00	6	20	1057.0	BONAP	NorthChina	RESELL
11077	1	1997-05-06 00:00:00	2	24	1374.6	RATTC	SouthChina	SELF_USE
10400	1	1998-01-01 00:00:00	29	21	3063.0	EASTC	NorthChina	RESELL
10401	1	1998-01-01 00:00:00	30	18	3868.6	RATTC	Northeast	RESELL
10402	8	1998-01-02 00:00:00	23	60	2713.5	ERNSH	EastChina	SELF_USE
10403	4	1998-01-03 00:00:00	16	21	1005.9	ERNSH	EastChina	RESELL
10404	2	1998-01-03 00:00:00	26	30	1675.0	MAGAA	EastChina	RESELL
10405	1	1998-01-06 00:00:00	3	50	400.0	LINOD	NorthChina	RESELL
10406	7	1998-01-07 00:00:00	1	10	2018.2	QUEEN	NorthChina	RESELL
10407	2	1998-01-07 00:00:00	11	30	1194.0	OTTIK	EastChina	RESELL
10408	8	1998-01-08 00:00:00	37	10	1622.4	FOLIG	Southwest	SELF_USE
10409	3	1998-01-09 00:00:00	14	12	319.2	OCEAN	NorthChina	RESELL
10410	3	1998-01-10 00:00:00	33	49	802.0	BOTTM	NorthChina	RESELL
10411	9	1998-01-10 00:00:00	41	25	1208.5	BOTTM	EastChina	RESELL
10412	8	1998-01-13 00:00:00	14	20	372.0	WARTH	EastChina	RESELL
10413	3	1998-01-14 00:00:00	1	24	2123.2	LAMAI	Southwest	RESELL
10414	2	1998-01-14 00:00:00	19	18	231.4	FAMIA	SouthChina	SELF_USE
10415	3	1998-01-15 00:00:00	17	2	102.4	HUNGC	NorthChina	SELF_USE
10416	8	1998-01-16 00:00:00	19	20	720.0	WARTH	EastChina	SELF_USE
10417	4	1998-01-16 00:00:00	38	50	11283.2	SIMOB	Southwest	SELF_USE
10418	4	1998-01-17 00:00:00	2	60	1814.8	QUICK	Northeast	RESELL
10419	4	1998-01-20 00:00:00	60	60	2208.0	RICSU	Southwest	SELF_USE
10420	3	1998-01-21 00:00:00	9	20	1897.6	WELLI	EastChina	RESELL
10421	8	1998-01-21 00:00:00	19	4	1273.2	QUEDE	EastChina	RESELL
10422	2	1998-01-22 00:00:00	26	2	49.8	FRANS	EastChina	RESELL
10423	6	1998-01-23 00:00:00	31	14	1020.0	GOURL	Northeast	SELF_USE
10424	7	1998-01-23 00:00:00	35	60	11493.2	MEREP	EastChina	SELF_USE
10425	6	1998-01-24 00:00:00	55	10	480.0	LAMAI	Southwest	SELF_USE
10426	4	1998-01-27 00:00:00	56	5	338.2	GALED	SouthChina	RESELL
10427	4	1998-01-27 00:00:00	14	35	651.0	PICCO	EastChina	SELF_USE
10428	7	1998-01-28 00:00:00	46	20	192.0	REGGC	Northeast	RESELL
10429	3	1998-01-29 00:00:00	50	40	1748.5	HUNGO	Northeast	RESELL
10430	4	1998-01-30 00:00:00	17	45	5796.0	ERNSH	Southwest	RESELL
10431	4	1998-01-30 00:00:00	17	50	2523.0	BOTTM	Northeast	SELF_USE
10432	3	1998-01-31 00:00:00	26	10	485.0	SPLIR	NorthChina	SELF_USE
10433	3	1998-02-03 00:00:00	56	28	851.2	PRINI	NorthChina	SELF_USE
10434	3	1998-02-03 00:00:00	11	6	360.0	FOLKO	NorthChina	RESELL
10435	8	1998-02-04 00:00:00	2	10	631.6	CONSH	NorthChina	SELF_USE
10436	3	1998-02-05 00:00:00	46	5	2210.8	BLONP	Southwest	SELF_USE
10437	8	1998-02-05 00:00:00	53	15	393.0	WARTH	Southwest	SELF_USE
10438	3	1998-02-06 00:00:00	19	15	567.5	TOMSP	EastChina	RESELL
10439	6	1998-02-07 00:00:00	12	15	1078.0	MEREP	NorthChina	RESELL
10440	4	1998-02-10 00:00:00	2	45	5793.1	SAVEA	EastChina	SELF_USE
10441	3	1998-02-10 00:00:00	27	50	1755.0	OLDWO	NorthChina	RESELL
10442	3	1998-02-11 00:00:00	11	30	1792.0	ERNSH	SouthChina	SELF_USE
10443	8	1998-02-12 00:00:00	11	6	537.6	REGGC	EastChina	RESELL
10444	3	1998-02-12 00:00:00	17	10	1031.7	BERGS	NorthChina	RESELL
10445	3	1998-02-13 00:00:00	39	6	174.9	BERGS	NorthChina	SELF_USE
10446	6	1998-02-14 00:00:00	19	12	273.6	TOMSP	Southwest	SELF_USE
10447	4	1998-02-14 00:00:00	19	40	914.4	RICAR	NorthChina	RESELL
10448	4	1998-02-17 00:00:00	26	6	443.4	RANCH	EastChina	RESELL
10449	3	1998-02-18 00:00:00	10	14	1838.2	BLONP	Southwest	RESELL
10450	8	1998-02-19 00:00:00	10	20	531.4	VICTE	NorthChina	SELF_USE
10451	4	1998-02-19 00:00:00	55	120	4277.4	QUICK	Northeast	RESELL
10452	8	1998-02-20 00:00:00	28	15	2096.0	SAVEA	EastChina	RESELL
10453	1	1998-02-21 00:00:00	48	15	453.0	AROUT	EastChina	RESELL
10454	4	1998-02-21 00:00:00	16	20	414.0	LAMAI	EastChina	SELF_USE
10455	8	1998-02-24 00:00:00	39	20	2684.0	WARTH	EastChina	RESELL
10456	8	1998-02-25 00:00:00	21	40	656.0	KOENE	SouthChina	RESELL
10457	2	1998-02-25 00:00:00	59	36	1584.0	KOENE	Northeast	RESELL
10458	7	1998-02-26 00:00:00	26	30	3891.0	SUPRD	Northeast	RESELL
10459	4	1998-02-27 00:00:00	7	16	1688.0	VICTE	NorthChina	SELF_USE
10460	8	1998-02-28 00:00:00	68	21	234.8	FOLKO	Northeast	RESELL
10461	1	1998-02-28 00:00:00	21	40	2051.6	LILAS	NorthChina	SELF_USE
10462	2	1998-03-03 00:00:00	13	1	156.0	CONSH	NorthChina	SELF_USE
10463	5	1998-03-04 00:00:00	19	21	713.3	SUPRD	Northeast	RESELL
10464	4	1998-03-04 00:00:00	4	16	1848.0	FURIB	NorthChina	RESELL
10465	1	1998-03-05 00:00:00	24	25	2719.0	VAFFE	NorthChina	SELF_USE
10466	4	1998-03-06 00:00:00	11	10	216.0	COMMI	Southwest	SELF_USE
10467	8	1998-03-06 00:00:00	24	28	235.2	MAGAA	EastChina	RESELL
10468	3	1998-03-07 00:00:00	30	8	717.6	KOENE	EastChina	RESELL
10469	1	1998-03-10 00:00:00	2	40	1125.5	WHITC	NorthChina	RESELL
10470	4	1998-03-11 00:00:00	18	30	1820.8	BONAP	EastChina	RESELL
10471	2	1998-03-11 00:00:00	7	30	1328.0	BSBEV	NorthChina	RESELL
10472	8	1998-03-12 00:00:00	24	80	1051.2	SEVES	NorthChina	RESELL
10473	1	1998-03-13 00:00:00	33	12	230.4	ISLAT	SouthChina	SELF_USE
10474	5	1998-03-13 00:00:00	14	12	1249.1	PERIC	NorthChina	RESELL
10475	9	1998-03-14 00:00:00	31	35	1770.8	SUPRD	NorthChina	RESELL
10476	8	1998-03-17 00:00:00	55	2	182.4	HILAA	NorthChina	RESELL
10477	5	1998-03-17 00:00:00	1	15	672.0	PRINI	NorthChina	SELF_USE
10478	2	1998-03-18 00:00:00	10	20	496.0	VICTE	NorthChina	SELF_USE
10479	3	1998-03-19 00:00:00	38	30	10495.6	RATTC	EastChina	RESELL
10480	6	1998-03-20 00:00:00	47	30	756.0	FOLIG	NorthChina	RESELL
10481	8	1998-03-20 00:00:00	49	24	1472.0	RICAR	EastChina	RESELL
10482	1	1998-03-21 00:00:00	40	10	147.0	LAZYK	EastChina	RESELL
10483	7	1998-03-24 00:00:00	34	35	704.0	WHITC	EastChina	RESELL
10484	3	1998-03-24 00:00:00	21	14	386.2	BSBEV	NorthChina	SELF_USE
10485	4	1998-03-25 00:00:00	2	20	1760.0	LINOD	EastChina	SELF_USE
10486	1	1998-03-26 00:00:00	11	5	1272.0	HILAA	Northeast	SELF_USE
10487	2	1998-03-26 00:00:00	19	5	925.1	QUEEN	Northeast	RESELL
10488	8	1998-03-27 00:00:00	59	30	1560.0	FRANK	Northeast	SELF_USE
10489	6	1998-03-28 00:00:00	11	15	502.2	PICCO	NorthChina	RESELL
10490	7	1998-03-31 00:00:00	59	60	3163.2	HILAA	NorthChina	RESELL
10491	8	1998-03-31 00:00:00	44	15	305.3	FURIB	NorthChina	RESELL
10492	3	1998-04-01 00:00:00	25	60	896.0	BOTTM	EastChina	RESELL
10493	4	1998-04-02 00:00:00	65	15	676.0	LAMAI	EastChina	RESELL
10494	4	1998-04-02 00:00:00	56	30	912.0	COMMI	EastChina	SELF_USE
10495	3	1998-04-03 00:00:00	23	10	278.0	LAUGB	Southwest	RESELL
10496	7	1998-04-04 00:00:00	31	20	200.0	TRADH	EastChina	SELF_USE
10497	7	1998-04-04 00:00:00	56	14	1380.6	LEHMS	EastChina	RESELL
10498	8	1998-04-07 00:00:00	24	14	575.0	HILAA	EastChina	SELF_USE
10499	4	1998-04-08 00:00:00	28	20	1412.0	LILAS	EastChina	RESELL
10500	6	1998-04-09 00:00:00	15	12	550.8	LAMAI	SouthChina	RESELL
10501	9	1998-04-09 00:00:00	54	20	149.0	BLAUS	EastChina	SELF_USE
10502	2	1998-04-10 00:00:00	45	21	816.3	PERIC	NorthChina	RESELL
10503	6	1998-04-11 00:00:00	14	70	2048.5	HUNGO	EastChina	RESELL
10504	4	1998-04-11 00:00:00	2	12	1388.5	WHITC	Southwest	SELF_USE
10505	3	1998-04-14 00:00:00	62	3	147.9	MEREP	NorthChina	SELF_USE
10506	9	1998-04-15 00:00:00	25	18	462.0	KOENE	EastChina	SELF_USE
10507	7	1998-04-15 00:00:00	43	15	881.25	ANTON	Southwest	SELF_USE
10508	1	1998-04-16 00:00:00	13	10	240.0	OTTIK	EastChina	SELF_USE
10509	4	1998-04-17 00:00:00	28	3	136.8	BLAUS	EastChina	RESELL
10510	6	1998-04-18 00:00:00	29	36	4735.44	SAVEA	Northeast	SELF_USE
10511	4	1998-04-18 00:00:00	4	50	3000.0	BONAP	EastChina	SELF_USE
10512	7	1998-04-21 00:00:00	24	10	618.0	FAMIA	EastChina	SELF_USE
10513	7	1998-04-22 00:00:00	21	40	2427.5	WANDK	EastChina	SELF_USE
10514	3	1998-04-22 00:00:00	20	39	8623.45	ERNSH	EastChina	SELF_USE
10515	2	1998-04-23 00:00:00	9	16	10588.5	QUICK	Northeast	SELF_USE
10516	2	1998-04-24 00:00:00	18	25	2614.5	HUNGO	SouthChina	RESELL
10517	3	1998-04-24 00:00:00	52	6	352.0	NORTS	NorthChina	RESELL
10518	4	1998-04-25 00:00:00	24	5	4150.05	TORTU	NorthChina	RESELL
10519	6	1998-04-28 00:00:00	10	16	2356.0	CHOPS	EastChina	RESELL
10520	7	1998-04-29 00:00:00	24	8	200.0	SANTG	Northeast	RESELL
10521	8	1998-04-29 00:00:00	35	3	225.5	CACTU	EastChina	SELF_USE
10522	4	1998-04-30 00:00:00	1	40	2657.8	LEHMS	EastChina	RESELL
10523	7	1998-05-01 00:00:00	17	25	2715.9	SEVES	NorthChina	RESELL
10524	1	1998-05-01 00:00:00	10	2	3192.65	BERGS	Southwest	RESELL
10525	1	1998-05-02 00:00:00	36	30	846.0	BONAP	NorthChina	RESELL
10526	4	1998-05-05 00:00:00	1	8	1344.0	WARTH	EastChina	SELF_USE
10527	7	1998-05-05 00:00:00	4	50	1670.0	QUICK	EastChina	SELF_USE
10528	6	1998-05-06 00:00:00	11	3	396.2	GREAL	EastChina	SELF_USE
10529	5	1998-05-07 00:00:00	55	14	946.0	MAISD	SouthChina	SELF_USE
10530	3	1998-05-08 00:00:00	17	40	4180.0	PICCO	EastChina	SELF_USE
10531	7	1998-05-08 00:00:00	59	2	110.0	OCEAN	NorthChina	SELF_USE
10532	7	1998-05-09 00:00:00	30	15	796.35	EASTC	NorthChina	RESELL
10533	8	1998-05-12 00:00:00	4	50	2295.2	FOLKO	Southwest	RESELL
10534	8	1998-05-12 00:00:00	30	10	517.4	LEHMS	Southwest	SELF_USE
10535	4	1998-05-13 00:00:00	11	50	2156.5	ANTON	NorthChina	SELF_USE
10536	3	1998-05-14 00:00:00	12	15	2085.0	LEHMS	EastChina	RESELL
10537	1	1998-05-14 00:00:00	31	30	1823.8	RICSU	Southwest	SELF_USE
10538	9	1998-05-15 00:00:00	70	7	139.8	BSBEV	NorthChina	SELF_USE
10539	6	1998-05-16 00:00:00	13	8	355.5	BSBEV	NorthChina	RESELL
10540	3	1998-05-19 00:00:00	3	60	10191.7	QUICK	EastChina	RESELL
10541	2	1998-05-19 00:00:00	24	35	2162.8	HANAR	EastChina	RESELL
10542	1	1998-05-20 00:00:00	11	15	493.8	KOENE	EastChina	RESELL
10543	8	1998-05-21 00:00:00	12	30	1770.0	LILAS	Northeast	SELF_USE
10544	4	1998-05-21 00:00:00	28	7	417.2	LONEP	Northeast	RESELL
10545	8	1998-05-22 00:00:00	11	10	210.0	LAZYK	EastChina	RESELL
10546	1	1998-05-23 00:00:00	7	10	2812.0	VICTE	NorthChina	RESELL
10547	3	1998-05-23 00:00:00	32	24	1908.0	SEVES	NorthChina	RESELL
10548	3	1998-05-26 00:00:00	34	10	275.1	TOMSP	EastChina	SELF_USE
10549	5	1998-05-27 00:00:00	31	55	4181.5	QUICK	EastChina	RESELL
10550	7	1998-05-28 00:00:00	17	8	749.0	GODOS	Northeast	RESELL
10551	4	1998-05-28 00:00:00	16	40	1836.0	FURIB	NorthChina	SELF_USE
10552	2	1998-05-29 00:00:00	69	18	880.5	HILAA	EastChina	SELF_USE
10553	2	1998-05-30 00:00:00	11	15	1546.3	WARTH	Southwest	SELF_USE
10554	4	1998-05-30 00:00:00	16	30	1819.5	OTTIK	EastChina	SELF_USE
10555	6	1998-06-02 00:00:00	14	30	3680.5	SAVEA	NorthChina	SELF_USE
10556	2	1998-06-03 00:00:00	72	24	835.2	SIMOB	EastChina	SELF_USE
10557	9	1998-06-03 00:00:00	64	30	1152.5	LEHMS	EastChina	RESELL
10558	1	1998-06-04 00:00:00	47	25	2142.9	AROUT	SouthChina	SELF_USE
10559	6	1998-06-05 00:00:00	41	12	547.8	BLONP	NorthChina	RESELL
10560	8	1998-06-06 00:00:00	30	20	1257.3	FRANK	NorthChina	SELF_USE
10561	2	1998-06-06 00:00:00	44	10	2844.5	FOLKO	EastChina	RESELL
10562	1	1998-06-09 00:00:00	33	20	543.0	REGGC	Southwest	RESELL
10563	2	1998-06-10 00:00:00	36	25	965.0	RICAR	NorthChina	SELF_USE
10564	4	1998-06-10 00:00:00	17	16	1299.0	RATTC	Southwest	RESELL
10565	8	1998-06-11 00:00:00	24	25	711.0	MEREP	Southwest	RESELL
10566	9	1998-06-12 00:00:00	11	35	2040.0	BLONP	EastChina	RESELL
10567	1	1998-06-12 00:00:00	31	60	3109.0	HUNGO	EastChina	RESELL
10568	3	1998-06-13 00:00:00	10	5	155.0	GALED	Southwest	RESELL
10569	5	1998-06-16 00:00:00	31	35	977.5	RATTC	EastChina	RESELL
10570	3	1998-06-17 00:00:00	11	15	2595.0	MEREP	EastChina	SELF_USE
10571	8	1998-06-17 00:00:00	14	11	647.75	ERNSH	EastChina	SELF_USE
10572	3	1998-06-18 00:00:00	16	12	1565.65	BERGS	NorthChina	RESELL
10573	7	1998-06-19 00:00:00	17	18	2082.0	ANTON	Northeast	RESELL
10574	4	1998-06-19 00:00:00	33	14	764.3	TRAIH	EastChina	RESELL
10575	5	1998-06-20 00:00:00	59	12	2147.4	MORGK	NorthChina	SELF_USE
10576	3	1998-06-23 00:00:00	1	10	838.45	TORTU	NorthChina	RESELL
10577	9	1998-06-23 00:00:00	39	10	569.0	TRAIH	EastChina	RESELL
10578	4	1998-06-24 00:00:00	35	20	477.0	BSBEV	NorthChina	RESELL
10579	1	1998-06-25 00:00:00	15	10	317.75	LETSS	EastChina	RESELL
10580	4	1998-06-26 00:00:00	14	15	1067.1	OTTIK	Northeast	SELF_USE
10581	3	1998-06-26 00:00:00	75	50	387.5	FAMIA	EastChina	RESELL
10582	3	1998-06-27 00:00:00	57	4	330.0	BLAUS	Southwest	SELF_USE
10583	2	1998-06-30 00:00:00	29	10	2413.9	WARTH	EastChina	SELF_USE
10584	4	1998-06-30 00:00:00	31	50	625.0	BLONP	EastChina	SELF_USE
10585	7	1998-07-01 00:00:00	47	15	142.5	WELLI	NorthChina	RESELL
10586	9	1998-07-02 00:00:00	52	4	28.0	REGGC	EastChina	SELF_USE
10587	1	1998-07-02 00:00:00	26	6	807.38	QUEDE	SouthChina	RESELL
10588	2	1998-07-03 00:00:00	18	40	3900.0	QUICK	EastChina	RESELL
10589	8	1998-07-04 00:00:00	35	4	72.0	GREAL	NorthChina	SELF_USE
10590	4	1998-07-07 00:00:00	1	20	1140.0	MEREP	EastChina	SELF_USE
10591	1	1998-07-07 00:00:00	3	14	812.5	VAFFE	Southwest	RESELL
10592	3	1998-07-08 00:00:00	15	25	543.65	LEHMS	NorthChina	SELF_USE
10593	7	1998-07-09 00:00:00	20	21	2493.0	LEHMS	EastChina	SELF_USE
10594	3	1998-07-09 00:00:00	52	24	565.5	OLDWO	Southwest	SELF_USE
10595	2	1998-07-10 00:00:00	35	30	6300.0	ERNSH	NorthChina	RESELL
10596	8	1998-07-11 00:00:00	56	5	1476.1	WHITC	EastChina	SELF_USE
10597	7	1998-07-11 00:00:00	24	35	800.1	PICCO	EastChina	SELF_USE
10598	1	1998-07-14 00:00:00	27	50	2388.5	RATTC	Southwest	RESELL
10599	6	1998-07-15 00:00:00	62	10	493.0	BSBEV	NorthChina	RESELL
10600	4	1998-07-16 00:00:00	54	4	479.8	HUNGC	EastChina	SELF_USE
10601	7	1998-07-16 00:00:00	13	60	2285.0	HILAA	EastChina	RESELL
10602	8	1998-07-17 00:00:00	77	5	65.0	VAFFE	Northeast	SELF_USE
10603	8	1998-07-18 00:00:00	22	48	1508.0	SAVEA	EastChina	RESELL
10604	1	1998-07-18 00:00:00	48	6	256.5	FURIB	NorthChina	RESELL
10605	1	1998-07-21 00:00:00	16	30	4326.0	MEREP	NorthChina	SELF_USE
10606	4	1998-07-22 00:00:00	4	20	1413.0	TRADH	SouthChina	RESELL
10607	5	1998-07-22 00:00:00	7	45	6475.4	SAVEA	EastChina	RESELL
10608	4	1998-07-23 00:00:00	56	28	1064.0	TOMSP	EastChina	RESELL
10609	7	1998-07-24 00:00:00	1	3	424.0	DUMON	EastChina	SELF_USE
10610	8	1998-07-25 00:00:00	36	21	399.0	LAMAI	Northeast	SELF_USE
10611	6	1998-07-25 00:00:00	1	6	808.0	WOLZA	Southwest	SELF_USE
10612	1	1998-07-28 00:00:00	10	70	6375.0	SAVEA	EastChina	RESELL
10613	4	1998-07-29 00:00:00	13	8	358.0	HILAA	NorthChina	SELF_USE
10614	8	1998-07-29 00:00:00	11	14	464.0	BLAUS	EastChina	SELF_USE
10615	2	1998-07-30 00:00:00	55	5	120.0	WILMK	EastChina	RESELL
10616	1	1998-07-31 00:00:00	38	15	5032.0	GREAL	SouthChina	SELF_USE
10617	4	1998-07-31 00:00:00	59	30	1650.0	GREAL	EastChina	SELF_USE
10618	1	1998-08-01 00:00:00	6	70	2697.5	MEREP	NorthChina	SELF_USE
10619	3	1998-08-04 00:00:00	21	42	1260.0	MEREP	NorthChina	RESELL
10620	2	1998-08-05 00:00:00	24	5	57.5	LAUGB	Southwest	RESELL
10621	4	1998-08-05 00:00:00	19	5	758.5	ISLAT	NorthChina	RESELL
10622	4	1998-08-06 00:00:00	2	20	605.0	RICAR	EastChina	SELF_USE
